% Moku:Go Oscilloscope
% Channel A (Input 1), DC coupling, 1 x probe attenuation
% Channel B (Output 1), DC coupling, 10 x probe attenuation
% Time span 1.000 ms, time offset -2.372 ms, Precision acquisition mode, 100 averages
% Edge trigger: Channel A, level 783.5 mV, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 (off) - Sine, 200.000 000 Hz, 5.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Acquired 2025-03-25 T 15:24:17 +0100
% Time (s), Channel A (Input 1) (V)
1.872024000000e-03, 1.957068e+00
1.873080000000e-03, 1.956945e+00
1.874136000000e-03, 1.956873e+00
1.875192000000e-03, 1.956909e+00
1.876248000000e-03, 1.957098e+00
1.877304000000e-03, 1.957035e+00
1.878360000000e-03, 1.957027e+00
1.879416000000e-03, 1.957048e+00
1.880472000000e-03, 1.956998e+00
1.881528000000e-03, 1.957013e+00
1.882584000000e-03, 1.957039e+00
1.883640000000e-03, 1.956792e+00
1.884696000000e-03, 1.956712e+00
1.885752000000e-03, 1.956783e+00
1.886808000000e-03, 1.956971e+00
1.887864000000e-03, 1.956949e+00
1.888920000000e-03, 1.957064e+00
1.889976000000e-03, 1.957071e+00
1.891032000000e-03, 1.957065e+00
1.892088000000e-03, 1.957130e+00
1.893144000000e-03, 1.956990e+00
1.894200000000e-03, 1.956925e+00
1.895256000000e-03, 1.956836e+00
1.896312000000e-03, 1.956578e+00
1.897368000000e-03, 1.956816e+00
1.898424000000e-03, 1.956792e+00
1.899480000000e-03, 1.956853e+00
1.900536000000e-03, 1.957049e+00
1.901592000000e-03, 1.957144e+00
1.902648000000e-03, 1.956920e+00
1.903704000000e-03, 1.957072e+00
1.904760000000e-03, 1.956905e+00
1.905816000000e-03, 1.957008e+00
1.906872000000e-03, 1.957001e+00
1.907928000000e-03, 1.956884e+00
1.908984000000e-03, 1.956748e+00
1.910040000000e-03, 1.956791e+00
1.911096000000e-03, 1.956890e+00
1.912152000000e-03, 1.957097e+00
1.913208000000e-03, 1.957125e+00
1.914264000000e-03, 1.957106e+00
1.915320000000e-03, 1.956990e+00
1.916376000000e-03, 1.957047e+00
1.917432000000e-03, 1.956981e+00
1.918488000000e-03, 1.956880e+00
1.919544000000e-03, 1.956889e+00
1.920600000000e-03, 1.957041e+00
1.921656000000e-03, 1.956915e+00
1.922712000000e-03, 1.956893e+00
1.923768000000e-03, 1.956969e+00
1.924824000000e-03, 1.957111e+00
1.925880000000e-03, 1.957136e+00
1.926936000000e-03, 1.957011e+00
1.927992000000e-03, 1.956960e+00
1.929048000000e-03, 1.956754e+00
1.930104000000e-03, 1.956899e+00
1.931160000000e-03, 1.956780e+00
1.932216000000e-03, 1.956987e+00
1.933272000000e-03, 1.957153e+00
1.934328000000e-03, 1.957143e+00
1.935384000000e-03, 1.957035e+00
1.936440000000e-03, 1.957004e+00
1.937496000000e-03, 1.957040e+00
1.938552000000e-03, 1.956952e+00
1.939608000000e-03, 1.957003e+00
1.940664000000e-03, 1.956962e+00
1.941720000000e-03, 1.956858e+00
1.942776000000e-03, 1.956762e+00
1.943832000000e-03, 1.957095e+00
1.944888000000e-03, 1.957006e+00
1.945944000000e-03, 1.957095e+00
1.947000000000e-03, 1.956951e+00
1.948056000000e-03, 1.957025e+00
1.949112000000e-03, 1.957118e+00
1.950168000000e-03, 1.956994e+00
1.951224000000e-03, 1.956985e+00
1.952280000000e-03, 1.956948e+00
1.953336000000e-03, 1.956914e+00
1.954392000000e-03, 1.957163e+00
1.955448000000e-03, 1.956912e+00
1.956504000000e-03, 1.957204e+00
1.957560000000e-03, 1.957210e+00
1.958616000000e-03, 1.957121e+00
1.959672000000e-03, 1.956919e+00
1.960728000000e-03, 1.957030e+00
1.961784000000e-03, 1.956857e+00
1.962840000000e-03, 1.956729e+00
1.963896000000e-03, 1.956861e+00
1.964952000000e-03, 1.957023e+00
1.966008000000e-03, 1.957048e+00
1.967064000000e-03, 1.957080e+00
1.968120000000e-03, 1.957001e+00
1.969176000000e-03, 1.956982e+00
1.970232000000e-03, 1.956938e+00
1.971288000000e-03, 1.956928e+00
1.972344000000e-03, 1.956873e+00
1.973400000000e-03, 1.956921e+00
1.974456000000e-03, 1.956970e+00
1.975512000000e-03, 1.956795e+00
1.976568000000e-03, 1.956980e+00
1.977624000000e-03, 1.956915e+00
1.978680000000e-03, 1.956971e+00
1.979736000000e-03, 1.956901e+00
1.980792000000e-03, 1.956813e+00
1.981848000000e-03, 1.956885e+00
1.982904000000e-03, 1.956815e+00
1.983960000000e-03, 1.956746e+00
1.985016000000e-03, 1.956925e+00
1.986072000000e-03, 1.956663e+00
1.987128000000e-03, 1.956974e+00
1.988184000000e-03, 1.956974e+00
1.989240000000e-03, 1.956849e+00
1.990296000000e-03, 1.956896e+00
1.991352000000e-03, 1.956793e+00
1.992408000000e-03, 1.956811e+00
1.993464000000e-03, 1.956702e+00
1.994520000000e-03, 1.956892e+00
1.995576000000e-03, 1.956657e+00
1.996632000000e-03, 1.956918e+00
1.997688000000e-03, 1.956878e+00
1.998744000000e-03, 1.956959e+00
1.999800000000e-03, 1.956835e+00
2.000856000000e-03, 1.956962e+00
2.001912000000e-03, 1.956982e+00
2.002968000000e-03, 1.956918e+00
2.004024000000e-03, 1.956863e+00
2.005080000000e-03, 1.956988e+00
2.006136000000e-03, 1.956919e+00
2.007192000000e-03, 1.956981e+00
2.008248000000e-03, 1.956839e+00
2.009304000000e-03, 1.956866e+00
2.010360000000e-03, 1.956994e+00
2.011416000000e-03, 1.956807e+00
2.012472000000e-03, 1.956857e+00
2.013528000000e-03, 1.956752e+00
2.014584000000e-03, 1.956913e+00
2.015640000000e-03, 1.956916e+00
2.016696000000e-03, 1.956878e+00
2.017752000000e-03, 1.956926e+00
2.018808000000e-03, 1.957007e+00
2.019864000000e-03, 1.956982e+00
2.020920000000e-03, 1.956827e+00
2.021976000000e-03, 1.956924e+00
2.023032000000e-03, 1.956904e+00
2.024088000000e-03, 1.956960e+00
2.025144000000e-03, 1.956783e+00
2.026200000000e-03, 1.956771e+00
2.027256000000e-03, 1.956689e+00
2.028312000000e-03, 1.956930e+00
2.029368000000e-03, 1.956742e+00
2.030424000000e-03, 1.956739e+00
2.031480000000e-03, 1.956825e+00
2.032536000000e-03, 1.956864e+00
2.033592000000e-03, 1.956769e+00
2.034648000000e-03, 1.956763e+00
2.035704000000e-03, 1.956846e+00
2.036760000000e-03, 1.956774e+00
2.037816000000e-03, 1.956728e+00
2.038872000000e-03, 1.956857e+00
2.039928000000e-03, 1.957059e+00
2.040984000000e-03, 1.956765e+00
2.042040000000e-03, 1.956873e+00
2.043096000000e-03, 1.956940e+00
2.044152000000e-03, 1.957120e+00
2.045208000000e-03, 1.956831e+00
2.046264000000e-03, 1.956706e+00
2.047320000000e-03, 1.956717e+00
2.048376000000e-03, 1.956732e+00
2.049432000000e-03, 1.956860e+00
2.050488000000e-03, 1.956725e+00
2.051544000000e-03, 1.956724e+00
2.052600000000e-03, 1.956930e+00
2.053656000000e-03, 1.956902e+00
2.054712000000e-03, 1.956711e+00
2.055768000000e-03, 1.956664e+00
2.056824000000e-03, 1.956554e+00
2.057880000000e-03, 1.956650e+00
2.058936000000e-03, 1.956771e+00
2.059992000000e-03, 1.956983e+00
2.061048000000e-03, 1.956975e+00
2.062104000000e-03, 1.957108e+00
2.063160000000e-03, 1.956931e+00
2.064216000000e-03, 1.956922e+00
2.065272000000e-03, 1.956848e+00
2.066328000000e-03, 1.956687e+00
2.067384000000e-03, 1.956714e+00
2.068440000000e-03, 1.956794e+00
2.069496000000e-03, 1.956753e+00
2.070552000000e-03, 1.956711e+00
2.071608000000e-03, 1.956791e+00
2.072664000000e-03, 1.957077e+00
2.073720000000e-03, 1.957180e+00
