fr [MHz]	ph no [dBc/Hz]	err
0.0018	-82.3	1
0.0042	-82.3	1
0.0062	-84.8	1
0.0103	-87.3	1
0.016	-84.8	1
0.0185	-85.3	1
0.022	-87.8	1
0.025	-88.3	1
0.0276	-87.8	1
0.0294	-89.3	1
0.0354	-85.5	1
0.0466	-86.5	1
0.0641	-88.6	1
0.0735	-91.3	1
0.0865	-91.4	1
0.1034	-94.5	1
0.114	-96.4	1
0.1246	-97.9	1
0.1364	-97.5	1
0.142	-98.5	1
0.1552	-98.5	1
0.1659	-99.4	1
0.1793	-102	1
0.1927	-103.2	1
0.2114	-104.3	1
0.2287	-104.5	1
0.2488	-106.4	1
0.2648	-108.2	1
0.2849	-107.4	1
0.3049	-108.2	1
0.3376	-110.8	1
0.4133	-113.4	1
0.4801	-113.4	1
0.5113	-114.8	1
0.5558	-115.5	1
0.6182	-115.4	1
0.6939	-116.9	1
0.7563	-118	1
0.7964	-118	1
0.8364	-118.7	1
0.9166	-118.6	1
1.273	-122.7	1
1.553	-122.2	1
1.74	-124.1	1
2.008	-125.6	1
2.382	-126.6	1
2.569	-126.5	1
2.876	-127.1	1
3.3	-113.1	1
4.1	-114.5	1
5	-114.6	1
6.1	-113.9	1
7.2	-112.9	1
8	-114.3	1
9	-113.5	1
10.3	-110.6	1
12.5	-114.2	1
14.1	-114.7	1
18.2	-114	1
21.6	-111.7	1
30.7	-112.8	1
