% Moku:Go Oscilloscope
% Channel A (Input 1), DC coupling, 1 x probe attenuation
% Channel B (Input 2), DC coupling, 1 x probe attenuation
% Time span 85.00 s, time offset 42.86 s, Precision acquisition mode, no averaging
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Acquired 2025-05-27 T 16:09:40 +0200
% Time (s), Channel A (Input 1) (V), Channel B (Input 2) (V)
-7.429916868000e+01, 1.574175e+00, 1.122156e+00
-7.422327576000e+01, 1.574435e+00, 8.126409e-01
-7.414738284000e+01, 1.574119e+00, 1.051964e+00
-7.407148992000e+01, 1.573926e+00, 8.786842e-01
-7.399559700000e+01, 1.573907e+00, 9.854324e-01
-7.391970408000e+01, 1.573979e+00, 9.505887e-01
-7.384381116000e+01, 1.573929e+00, 9.119997e-01
-7.376791824000e+01, 1.573822e+00, 1.023365e+00
-7.369202532000e+01, 1.573865e+00, 8.367369e-01
-7.361613240000e+01, 1.573907e+00, 1.099699e+00
-7.354023948000e+01, 1.574504e+00, 7.795531e-01
-7.346434656000e+01, 1.574394e+00, 1.105911e+00
-7.338845364000e+01, 1.574470e+00, 8.304447e-01
-7.331256072000e+01, 1.574592e+00, 1.028923e+00
-7.323666780000e+01, 1.574603e+00, 8.963915e-01
-7.316077488000e+01, 1.574613e+00, 9.640632e-01
-7.308488196000e+01, 1.574863e+00, 9.721701e-01
-7.300898904000e+01, 1.575015e+00, 8.914874e-01
-7.293309612000e+01, 1.574826e+00, 1.044936e+00
-7.285720320000e+01, 1.574909e+00, 8.181800e-01
-7.278131028000e+01, 1.574916e+00, 1.120492e+00
-7.270541736000e+01, 1.575167e+00, 7.773987e-01
-7.262952444000e+01, 1.574867e+00, 1.084136e+00
-7.255363152000e+01, 1.574736e+00, 8.516909e-01
-7.247773860000e+01, 1.574756e+00, 1.008905e+00
-7.240184568000e+01, 1.574685e+00, 9.195644e-01
-7.232595276000e+01, 1.574368e+00, 9.455634e-01
-7.225005984000e+01, 1.574094e+00, 9.905912e-01
-7.217416692000e+01, 1.574108e+00, 8.707376e-01
-7.209827400000e+01, 1.574204e+00, 1.065754e+00
-7.202238108000e+01, 1.574034e+00, 7.956227e-01
-7.194648816000e+01, 1.573675e+00, 1.121767e+00
-7.187059524000e+01, 1.573370e+00, 7.991291e-01
-7.179470232000e+01, 1.572985e+00, 1.064422e+00
-7.171880940000e+01, 1.572710e+00, 8.724098e-01
-7.164291648000e+01, 1.572580e+00, 2.497472e+00
-7.156702356000e+01, 1.572521e+00, 4.738104e+00
-7.149113064000e+01, 1.572465e+00, 4.673796e+00
-7.141523772000e+01, 1.572233e+00, 5.106065e+00
-7.133934480000e+01, 1.572209e+00, 4.302448e+00
-7.126345188000e+01, 1.571871e+00, 5.479913e+00
-7.118755896000e+01, 1.571673e+00, 3.944930e+00
-7.111166604000e+01, 1.571309e+00, 5.645148e+00
-7.103577312000e+01, 1.571648e+00, 4.136483e+00
-7.095988020000e+01, 1.571420e+00, 5.275575e+00
-7.088398728000e+01, 1.571567e+00, 4.466258e+00
-7.080809436000e+01, 1.571533e+00, 4.944190e+00
-7.073220144000e+01, 1.571729e+00, 4.838167e+00
-7.065630852000e+01, 1.571634e+00, 4.576578e+00
-7.058041560000e+01, 1.571795e+00, 5.208944e+00
-7.050452268000e+01, 1.572281e+00, 4.211841e+00
-7.042862976000e+01, 1.572143e+00, 5.573099e+00
-7.035273684000e+01, 1.572478e+00, 3.946535e+00
-7.027684392000e+01, 1.572641e+00, 5.544647e+00
-7.020095100000e+01, 1.572830e+00, 4.240999e+00
-7.012505808000e+01, 1.572794e+00, 5.170841e+00
-7.004916516000e+01, 1.573127e+00, 4.573352e+00
-6.997327224000e+01, 1.573482e+00, 4.843170e+00
-6.989737932000e+01, 1.573501e+00, 4.938152e+00
-6.982148640000e+01, 1.573350e+00, 4.474023e+00
-6.974559348000e+01, 1.573072e+00, 5.309072e+00
-6.966970056000e+01, 1.573097e+00, 4.108372e+00
-6.959380764000e+01, 1.572699e+00, 5.647733e+00
-6.951791472000e+01, 1.573063e+00, 3.970405e+00
-6.944202180000e+01, 1.573025e+00, 5.448776e+00
-6.936612888000e+01, 1.573010e+00, 4.338144e+00
-6.929023596000e+01, 1.573094e+00, 5.081965e+00
-6.921434304000e+01, 1.573166e+00, 4.664079e+00
-6.913845012000e+01, 1.573370e+00, 4.748971e+00
-6.906255720000e+01, 1.573263e+00, 5.033015e+00
-6.898666428000e+01, 1.573081e+00, 4.379967e+00
-6.891077136000e+01, 1.572746e+00, 5.405338e+00
-6.883487844000e+01, 1.573016e+00, 4.012360e+00
-6.875898552000e+01, 1.572436e+00, 5.651924e+00
-6.868309260000e+01, 1.572807e+00, 4.058346e+00
-6.860719968000e+01, 1.572356e+00, 5.352402e+00
-6.853130676000e+01, 1.572325e+00, 2.385682e+00
-6.845541384000e+01, 1.572248e+00, 9.860378e-01
-6.837952092000e+01, 1.571959e+00, 9.397744e-01
-6.830362800000e+01, 1.571964e+00, 9.234715e-01
-6.822773508000e+01, 1.572011e+00, 1.015568e+00
-6.815184216000e+01, 1.571376e+00, 8.486770e-01
-6.807594924000e+01, 1.571021e+00, 1.089526e+00
-6.800005632000e+01, 1.571037e+00, 7.788330e-01
-6.792416340000e+01, 1.570716e+00, 1.118031e+00
-6.784827048000e+01, 1.570669e+00, 8.220670e-01
-6.777237756000e+01, 1.570225e+00, 1.043263e+00
-6.769648464000e+01, 1.570030e+00, 8.875879e-01
-6.762059172000e+01, 1.570030e+00, 9.778255e-01
-6.754469880000e+01, 1.569596e+00, 9.606934e-01
-6.746880588000e+01, 1.569504e+00, 9.022348e-01
-6.739291296000e+01, 1.569366e+00, 1.033819e+00
-6.731702004000e+01, 1.568968e+00, 8.277613e-01
-6.724112712000e+01, 1.568947e+00, 1.108372e+00
-6.716523420000e+01, 1.569021e+00, 7.796470e-01
-6.708934128000e+01, 1.568826e+00, 1.097837e+00
-6.701344836000e+01, 1.568688e+00, 8.423268e-01
-6.693755544000e+01, 1.568752e+00, 1.025784e+00
-6.686166252000e+01, 1.568536e+00, 9.094010e-01
-6.678576960000e+01, 1.568474e+00, 9.585518e-01
-6.670987668000e+01, 1.568260e+00, 9.813839e-01
-6.663398376000e+01, 1.568343e+00, 8.842982e-01
-6.655809084000e+01, 1.567915e+00, 1.054743e+00
-6.648219792000e+01, 1.567915e+00, 8.102469e-01
-6.640630500000e+01, 1.567449e+00, 1.122620e+00
-6.633041208000e+01, 1.567016e+00, 7.860516e-01
-6.625451916000e+01, 1.566991e+00, 1.078378e+00
-6.617862624000e+01, 1.567035e+00, 8.624445e-01
-6.610273332000e+01, 1.567426e+00, 1.004097e+00
-6.602684040000e+01, 1.567960e+00, 9.271600e-01
-6.595094748000e+01, 1.567676e+00, 9.377891e-01
-6.587505456000e+01, 1.567525e+00, 9.987692e-01
-6.579916164000e+01, 1.567459e+00, 8.663691e-01
-6.572326872000e+01, 1.567670e+00, 1.073522e+00
-6.564737580000e+01, 1.567758e+00, 7.927123e-01
-6.557148288000e+01, 1.567422e+00, 1.121150e+00
-6.549558996000e+01, 1.567351e+00, 8.050518e-01
-6.541969704000e+01, 1.567459e+00, 1.058019e+00
-6.534380412000e+01, 1.567473e+00, 8.783217e-01
-6.526791120000e+01, 1.567383e+00, 9.849169e-01
-6.519201828000e+01, 1.567138e+00, 9.439814e-01
-6.511612536000e+01, 1.567310e+00, 9.190433e-01
-6.504023244000e+01, 1.567212e+00, 1.018722e+00
-6.496433952000e+01, 1.567609e+00, 8.460193e-01
-6.488844660000e+01, 1.567137e+00, 1.091953e+00
-6.481255368000e+01, 1.567446e+00, 7.789101e-01
-6.473666076000e+01, 1.567360e+00, 1.114527e+00
-6.466076784000e+01, 1.567551e+00, 8.233569e-01
-6.458487492000e+01, 1.567325e+00, 1.040057e+00
-6.450898200000e+01, 1.567335e+00, 8.883858e-01
-6.443308908000e+01, 1.567225e+00, 9.741422e-01
-6.435719616000e+01, 1.567708e+00, 9.636490e-01
-6.428130324000e+01, 1.567803e+00, 8.987018e-01
-6.420541032000e+01, 1.567965e+00, 1.037446e+00
-6.412951740000e+01, 1.568013e+00, 8.268728e-01
-6.405362448000e+01, 1.567509e+00, 1.111435e+00
-6.397773156000e+01, 1.567828e+00, 7.782717e-01
-6.390183864000e+01, 1.567416e+00, 1.095309e+00
-6.382594572000e+01, 1.567769e+00, 8.443190e-01
-6.375005280000e+01, 1.567712e+00, 1.020401e+00
-6.367415988000e+01, 1.567541e+00, 9.107345e-01
-6.359826696000e+01, 1.567672e+00, 9.523519e-01
-6.352237404000e+01, 1.567441e+00, 9.829319e-01
-6.344648112000e+01, 1.567422e+00, 8.792079e-01
-6.337058820000e+01, 1.566934e+00, 1.057619e+00
-6.329469528000e+01, 1.567038e+00, 8.050999e-01
-6.321880236000e+01, 1.566684e+00, 1.119869e+00
-6.314290944000e+01, 1.566733e+00, 7.885069e-01
-6.306701652000e+01, 1.566521e+00, 1.072749e+00
-6.299112360000e+01, 1.565724e+00, 8.649816e-01
-6.291523068000e+01, 1.565692e+00, 1.001216e+00
-6.283933776000e+01, 1.565438e+00, 9.281043e-01
-6.276344484000e+01, 1.565520e+00, 9.362556e-01
-6.268755192000e+01, 1.565069e+00, 1.003143e+00
-6.261165900000e+01, 1.564963e+00, 8.602371e-01
-6.253576608000e+01, 1.564619e+00, 1.075555e+00
-6.245987316000e+01, 1.565044e+00, 7.857293e-01
-6.238398024000e+01, 1.564445e+00, 1.119927e+00
-6.230808732000e+01, 1.564730e+00, 8.105296e-01
-6.223219440000e+01, 1.564444e+00, 1.051990e+00
-6.215630148000e+01, 1.564891e+00, 8.787215e-01
-6.208040856000e+01, 1.564948e+00, 9.860619e-01
-6.200451564000e+01, 1.564942e+00, 9.502311e-01
-6.192862272000e+01, 1.564715e+00, 9.142068e-01
-6.185272980000e+01, 1.564603e+00, 1.022380e+00
-6.177683688000e+01, 1.564494e+00, 8.399011e-01
-6.170094396000e+01, 1.564739e+00, 1.096256e+00
-6.162505104000e+01, 1.564499e+00, 7.783482e-01
-6.154915812000e+01, 1.564634e+00, 1.108809e+00
-6.147326520000e+01, 1.565090e+00, 8.281285e-01
-6.139737228000e+01, 1.565040e+00, 1.034182e+00
-6.132147936000e+01, 1.565440e+00, 8.954489e-01
-6.124558644000e+01, 1.566064e+00, 9.679611e-01
-6.116969352000e+01, 1.565381e+00, 9.712667e-01
-6.109380060000e+01, 1.565277e+00, 8.939072e-01
-6.101790768000e+01, 1.564960e+00, 1.042312e+00
-6.094201476000e+01, 1.565637e+00, 8.215294e-01
-6.086612184000e+01, 1.565621e+00, 1.117995e+00
-6.079022892000e+01, 1.566117e+00, 7.787289e-01
-6.071433600000e+01, 1.566467e+00, 1.087278e+00
-6.063844308000e+01, 1.566283e+00, 8.504906e-01
-6.056255016000e+01, 1.566538e+00, 1.013019e+00
-6.048665724000e+01, 1.566453e+00, 9.154589e-01
-6.041076432000e+01, 1.566601e+00, 9.480411e-01
-6.033487140000e+01, 1.566015e+00, 9.912170e-01
-6.025897848000e+01, 1.566486e+00, 8.731299e-01
-6.018308556000e+01, 1.565956e+00, 1.064442e+00
-6.010719264000e+01, 1.566271e+00, 8.005877e-01
-6.003129972000e+01, 1.566103e+00, 1.122092e+00
-5.995540680000e+01, 1.566363e+00, 7.969565e-01
-5.987951388000e+01, 1.565970e+00, 1.065948e+00
-5.980362096000e+01, 1.566081e+00, 8.716475e-01
-5.972772804000e+01, 1.566038e+00, 9.923564e-01
-5.965183512000e+01, 1.566030e+00, 9.377215e-01
-5.957594220000e+01, 1.565605e+00, 9.261281e-01
-5.950004928000e+01, 1.565663e+00, 1.011666e+00
-5.942415636000e+01, 1.565749e+00, 8.529301e-01
-5.934826344000e+01, 1.565336e+00, 1.084720e+00
-5.927237052000e+01, 1.564977e+00, 7.798408e-01
-5.919647760000e+01, 1.565048e+00, 1.122770e+00
-5.912058468000e+01, 1.565279e+00, 8.170354e-01
-5.904469176000e+01, 1.564878e+00, 1.047294e+00
-5.896879884000e+01, 1.564946e+00, 8.820531e-01
-5.889290592000e+01, 1.564581e+00, 9.798732e-01
-5.881701300000e+01, 1.564498e+00, 9.554334e-01
-5.874112008000e+01, 1.564775e+00, 9.044439e-01
-5.866522716000e+01, 1.564518e+00, 1.031161e+00
-5.858933424000e+01, 1.564487e+00, 8.333196e-01
-5.851344132000e+01, 1.564166e+00, 1.104056e+00
-5.843754840000e+01, 1.564310e+00, 7.796365e-01
-5.836165548000e+01, 1.564198e+00, 1.102296e+00
-5.828576256000e+01, 1.563784e+00, 8.368213e-01
-5.820986964000e+01, 1.563703e+00, 1.025327e+00
-5.813397672000e+01, 1.563981e+00, 9.025548e-01
-5.805808380000e+01, 1.563948e+00, 9.621191e-01
-5.798219088000e+01, 1.563726e+00, 9.766364e-01
-5.790629796000e+01, 1.563973e+00, 8.854668e-01
-5.783040504000e+01, 1.563729e+00, 1.049215e+00
-5.775451212000e+01, 1.563722e+00, 8.136975e-01
-5.767861920000e+01, 1.563323e+00, 1.120416e+00
