% Moku:Go Lock-In Amplifier
% Input 1, DC coupling, 0 dB attenuation
% Input 2, DC coupling, 0 dB attenuation
% Internal demodulation: 1.000 000 000 kHz, 10.000 000 deg
% Lowpass filter corner frequency 9.0 Hz (time constant 17.7 ms), slope 12 dB / octave
% Output 1 - I signal, +0.0 dB gain, invert off, offset 0.000 0 V, output disabled
% Output 2 - Demodulation signal, amplitude 10.000 Vpp, offset 0.000 0 V, output enabled
% Acquired 2025-06-03 T 16:23:34 +0200
% Time (s), Probe A (Probe A) (V), Probe B (Probe B) (V)
-9.205891396800e+01, 1.039056e+00, -3.504898e-04
-9.196087465600e+01, 1.038996e+00, -3.503878e-04
-9.186283534400e+01, 1.038914e+00, -3.509490e-04
-9.176479603200e+01, 1.039120e+00, -3.456935e-04
-9.166675672000e+01, 1.039103e+00, -2.895151e-04
-9.156871740800e+01, 1.039127e+00, -2.843616e-04
-9.147067809600e+01, 1.038973e+00, -2.645129e-04
-9.137263878400e+01, 1.038429e+00, -2.454806e-04
-9.127459947200e+01, 1.038280e+00, -2.274689e-04
-9.117656016000e+01, 1.038330e+00, -2.247135e-04
-9.107852084800e+01, 1.038036e+00, -2.050689e-04
-9.098048153600e+01, 1.043834e+00, -1.613406e-04
-9.088244222400e+01, 1.043794e+00, -1.288378e-04
-9.078440291200e+01, 1.043005e+00, -1.334810e-04
-9.068636360000e+01, 1.041532e+00, -1.536359e-04
-9.058832428800e+01, 1.041483e+00, -1.496559e-04
-9.049028497600e+01, 1.040650e+00, -1.263886e-04
-9.039224566400e+01, 1.040509e+00, -1.485334e-04
-9.029420635200e+01, 1.041085e+00, -1.314911e-04
-9.019616704000e+01, 1.040735e+00, -1.215412e-04
-9.009812772800e+01, 1.040805e+00, -1.130201e-04
-9.000008841600e+01, 1.040707e+00, -1.427676e-04
-8.990204910400e+01, 1.040787e+00, -1.450127e-04
-8.980400979200e+01, 1.040712e+00, -1.419512e-04
-8.970597048000e+01, 1.041063e+00, -1.437370e-04
-8.960793116800e+01, 1.041216e+00, -1.180205e-04
-8.950989185600e+01, 1.041108e+00, -1.566974e-04
-8.941185254400e+01, 1.041317e+00, -1.516969e-04
-8.931381323200e+01, 1.038368e+00, -1.515949e-04
-8.921577392000e+01, 1.034657e+00, -1.686372e-04
-8.911773460800e+01, 1.034935e+00, -1.338892e-04
-8.901969529600e+01, 1.034705e+00, -1.256742e-04
-8.892165598400e+01, 1.034705e+00, -1.402163e-04
-8.882361667200e+01, 1.033505e+00, -1.372569e-04
-8.872557736000e+01, 1.032307e+00, -1.164898e-04
-8.862753804800e+01, 1.032300e+00, -1.355220e-04
-8.852949873600e+01, 1.032618e+00, -1.415940e-04
-8.843145942400e+01, 1.032628e+00, -1.211330e-04
-8.833342011200e+01, 1.032446e+00, -1.794034e-04
-8.823538080000e+01, 1.032394e+00, -1.628714e-04
-8.813734148800e+01, 1.034514e+00, -1.328688e-04
-8.803930217600e+01, 1.037165e+00, -1.378692e-04
-8.794126286400e+01, 1.038522e+00, -1.423594e-04
-8.784322355200e+01, 1.039728e+00, -1.740968e-04
-8.774518424000e+01, 1.040175e+00, -1.366956e-04
-8.764714492800e+01, 1.040650e+00, -1.354200e-04
-8.754910561600e+01, 1.040683e+00, -1.210310e-04
-8.745106630400e+01, 1.041066e+00, -1.285827e-04
-8.735302699200e+01, 1.040936e+00, -1.291950e-04
-8.725498768000e+01, 1.043179e+00, -2.372656e-04
-8.715694836800e+01, 1.043249e+00, -3.587048e-04
-8.705890905600e+01, 1.043090e+00, -3.547249e-04
-8.696086974400e+01, 1.042772e+00, -3.551331e-04
-8.686283043200e+01, 1.042491e+00, -3.570720e-04
-8.676479112000e+01, 1.042754e+00, -3.537554e-04
-8.666675180800e+01, 1.042607e+00, -3.592661e-04
-8.656871249600e+01, 1.042928e+00, -3.579905e-04
-8.647067318400e+01, 1.042494e+00, -3.576843e-04
-8.637263387200e+01, 1.042748e+00, -3.544697e-04
-8.627459456000e+01, 1.043324e+00, -3.507960e-04
-8.617655524800e+01, 1.043132e+00, -3.441627e-04
-8.607851593600e+01, 1.043168e+00, -3.492142e-04
-8.598047662400e+01, 1.042831e+00, -3.394174e-04
-8.588243731200e+01, 1.042924e+00, -3.532962e-04
-8.578439800000e+01, 1.042876e+00, -3.606438e-04
-8.568635868800e+01, 1.043086e+00, -3.448771e-04
-8.558831937600e+01, 1.042753e+00, -3.564597e-04
-8.549028006400e+01, 1.042767e+00, -3.619194e-04
-8.539224075200e+01, 1.042326e+00, -3.626337e-04
-8.529420144000e+01, 1.042792e+00, -3.572761e-04
-8.519616212800e+01, 1.042406e+00, -3.503878e-04
-8.509812281600e+01, 1.042669e+00, -3.494183e-04
-8.500008350400e+01, 1.042480e+00, -3.569700e-04
-8.490204419200e+01, 1.042518e+00, -3.428871e-04
-8.480400488000e+01, 1.042394e+00, -3.539595e-04
-8.470596556800e+01, 1.042515e+00, -3.561536e-04
-8.460792625600e+01, 1.042137e+00, -3.483468e-04
-8.450988694400e+01, 1.041832e+00, -3.562046e-04
-8.441184763200e+01, 1.041811e+00, -3.530921e-04
-8.431380832000e+01, 1.042090e+00, -3.545208e-04
-8.421576900800e+01, 1.042167e+00, -3.590110e-04
-8.411772969600e+01, 1.041577e+00, -3.590620e-04
-8.401969038400e+01, 1.041643e+00, -3.582966e-04
-8.392165107200e+01, 1.041968e+00, -3.569189e-04
-8.382361176000e+01, 1.041686e+00, -3.604397e-04
-8.372557244800e+01, 1.041793e+00, -3.573782e-04
-8.362753313600e+01, 1.041759e+00, -3.529900e-04
-8.352949382400e+01, 1.041832e+00, -3.534492e-04
-8.343145451200e+01, 1.042198e+00, -3.593681e-04
-8.333341520000e+01, 1.042039e+00, -3.528880e-04
-8.323537588800e+01, 1.042011e+00, -3.507960e-04
-8.313733657600e+01, 1.042136e+00, -3.564597e-04
-8.303929726400e+01, 1.041892e+00, -3.577353e-04
-8.294125795200e+01, 1.042003e+00, -3.445709e-04
-8.284321864000e+01, 1.041992e+00, -3.486529e-04
-8.274517932800e+01, 1.041758e+00, -3.580415e-04
-8.264714001600e+01, 1.041970e+00, -3.600825e-04
-8.254910070400e+01, 1.041833e+00, -3.502857e-04
-8.245106139200e+01, 1.041575e+00, -3.560005e-04
-8.235302208000e+01, 1.041620e+00, -3.601335e-04
-8.225498276800e+01, 1.041370e+00, -3.535003e-04
-8.215694345600e+01, 1.041684e+00, -3.521736e-04
-8.205890414400e+01, 1.041785e+00, -3.612560e-04
-8.196086483200e+01, 1.041665e+00, -3.632970e-04
-8.186282552000e+01, 1.041682e+00, -3.510511e-04
-8.176478620800e+01, 1.041522e+00, -3.484488e-04
-8.166674689600e+01, 1.042349e+00, -3.613071e-04
-8.156870758400e+01, 1.042032e+00, -3.535513e-04
-8.147066827200e+01, 1.041748e+00, -3.529390e-04
-8.137262896000e+01, 1.041799e+00, -3.369172e-04
-8.127458964800e+01, 1.042001e+00, -3.524287e-04
-8.117655033600e+01, 1.041753e+00, -3.539595e-04
-8.107851102400e+01, 1.041758e+00, -3.424279e-04
-8.098047171200e+01, 1.042042e+00, -3.575823e-04
-8.088243240000e+01, 1.042051e+00, -3.639093e-04
-8.078439308800e+01, 1.041885e+00, -3.505919e-04
-8.068635377600e+01, 1.041829e+00, -3.542656e-04
-8.058831446400e+01, 1.041717e+00, -3.611540e-04
-8.049027515200e+01, 1.041594e+00, -3.613071e-04
-8.039223584000e+01, 1.041280e+00, -3.532451e-04
-8.029419652800e+01, 1.041811e+00, -3.450812e-04
-8.019615721600e+01, 1.041633e+00, -3.487039e-04
-8.009811790400e+01, 1.041684e+00, -3.519695e-04
-8.000007859200e+01, 1.042048e+00, -3.492142e-04
-7.990203928000e+01, 1.042191e+00, -3.550310e-04
-7.980399996800e+01, 1.041804e+00, -3.517654e-04
-7.970596065600e+01, 1.041992e+00, -3.492652e-04
-7.960792134400e+01, 1.042056e+00, -3.616642e-04
-7.950988203200e+01, 1.041756e+00, -3.580925e-04
-7.941184272000e+01, 1.041900e+00, -3.497755e-04
-7.931380340800e+01, 1.041516e+00, -3.535513e-04
-7.921576409600e+01, 1.041736e+00, -3.584497e-04
-7.911772478400e+01, 1.041582e+00, -3.589089e-04
-7.901968547200e+01, 1.041607e+00, -3.599804e-04
-7.892164616000e+01, 1.042030e+00, -3.598784e-04
-7.882360684800e+01, 1.041952e+00, -3.531941e-04
-7.872556753600e+01, 1.041539e+00, -3.594192e-04
-7.862752822400e+01, 1.041625e+00, -3.638073e-04
-7.852948891200e+01, 1.041467e+00, -3.566638e-04
-7.843144960000e+01, 1.042150e+00, -3.465099e-04
-7.833341028800e+01, 1.042018e+00, -3.502347e-04
-7.823537097600e+01, 1.041971e+00, -3.587558e-04
-7.813733166400e+01, 1.041845e+00, -3.496734e-04
-7.803929235200e+01, 1.041906e+00, -3.405400e-04
-7.794125304000e+01, 1.041944e+00, -3.597763e-04
-7.784321372800e+01, 1.041959e+00, -3.541126e-04
-7.774517441600e+01, 1.041818e+00, -3.504898e-04
-7.764713510400e+01, 1.041861e+00, -3.537554e-04
-7.754909579200e+01, 1.041807e+00, -3.605417e-04
-7.745105648000e+01, 1.042122e+00, -3.621235e-04
-7.735301716800e+01, 1.041606e+00, -3.568169e-04
