% Moku:Go Lock-In Amplifier
% Input 1, DC coupling, 0 dB attenuation
% Input 2, DC coupling, 0 dB attenuation
% Internal demodulation: 1.000 000 000 kHz, 10.000 000 deg
% Lowpass filter corner frequency 9.0 Hz (time constant 17.7 ms), slope 12 dB / octave
% Output 1 - I signal, +0.0 dB gain, invert off, offset 0.000 0 V, output disabled
% Output 2 - Demodulation signal, amplitude 10.000 Vpp, offset 0.000 0 V, output enabled
% Acquired 2025-06-03 T 15:25:26 +0200
% Time (s), Probe A (Probe A) (V), Probe B (Probe B) (V)
-9.117656016000e+01, 1.294811e+00, 1.034391e+00
-9.107852084800e+01, 1.293487e+00, 9.312468e-01
-9.098048153600e+01, 1.292852e+00, 8.662927e-01
-9.088244222400e+01, 1.292566e+00, 1.018705e+00
-9.078440291200e+01, 1.292003e+00, 1.005087e+00
-9.068636360000e+01, 1.292752e+00, 8.656756e-01
-9.058832428800e+01, 1.292879e+00, 9.511717e-01
-9.049028497600e+01, 1.294408e+00, 1.033657e+00
-9.039224566400e+01, 1.294174e+00, 9.047787e-01
-9.029420635200e+01, 1.293985e+00, 8.770120e-01
-9.019616704000e+01, 1.293187e+00, 1.034116e+00
-9.009812772800e+01, 1.291759e+00, 9.786248e-01
-9.000008841600e+01, 1.291723e+00, 9.137953e-01
-8.990204910400e+01, 1.297506e+00, 1.730399e+00
-8.980400979200e+01, 1.297310e+00, 1.730862e+00
-8.970597048000e+01, 1.297043e+00, 1.731210e+00
-8.960793116800e+01, 1.297223e+00, 1.731405e+00
-8.950989185600e+01, 1.297468e+00, 1.731500e+00
-8.941185254400e+01, 1.297048e+00, 1.731927e+00
-8.931381323200e+01, 1.297976e+00, 1.731848e+00
-8.921577392000e+01, 1.297863e+00, 1.731746e+00
-8.911773460800e+01, 1.298131e+00, 1.732031e+00
-8.901969529600e+01, 1.297650e+00, 1.732240e+00
-8.892165598400e+01, 1.297483e+00, 1.732480e+00
-8.882361667200e+01, 1.297767e+00, 1.732608e+00
-8.872557736000e+01, 1.297151e+00, 1.732660e+00
-8.862753804800e+01, 1.297156e+00, 1.732728e+00
-8.852949873600e+01, 1.296566e+00, 1.732822e+00
-8.843145942400e+01, 1.296761e+00, 1.732959e+00
-8.833342011200e+01, 1.295873e+00, 1.262842e+00
-8.823538080000e+01, 1.290902e+00, 1.958464e+00
-8.813734148800e+01, 1.291356e+00, 1.957664e+00
-8.803930217600e+01, 1.292495e+00, 1.957454e+00
-8.794126286400e+01, 1.293381e+00, 1.957264e+00
-8.784322355200e+01, 1.292476e+00, 1.956970e+00
-8.774518424000e+01, 1.292818e+00, 1.956720e+00
-8.764714492800e+01, 1.292844e+00, 1.956308e+00
-8.754910561600e+01, 1.292213e+00, 1.956120e+00
-8.745106630400e+01, 1.292414e+00, 1.955864e+00
-8.735302699200e+01, 1.291774e+00, 1.955721e+00
-8.725498768000e+01, 1.292390e+00, 1.949301e+00
-8.715694836800e+01, 1.291846e+00, 1.955344e+00
-8.705890905600e+01, 1.292254e+00, 1.955030e+00
-8.696086974400e+01, 1.291780e+00, 1.955122e+00
-8.686283043200e+01, 1.291742e+00, 1.955231e+00
-8.676479112000e+01, 1.291705e+00, 1.955038e+00
-8.666675180800e+01, 1.291790e+00, 1.954819e+00
-8.656871249600e+01, 1.292012e+00, 1.954811e+00
-8.647067318400e+01, 1.291436e+00, 1.954670e+00
-8.637263387200e+01, 1.291828e+00, 1.954639e+00
-8.627459456000e+01, 1.297171e+00, 1.948384e+00
-8.617655524800e+01, 1.301282e+00, 1.954480e+00
-8.607851593600e+01, 1.301986e+00, 1.954529e+00
-8.598047662400e+01, 1.302473e+00, 1.954391e+00
-8.588243731200e+01, 1.302951e+00, 1.954552e+00
-8.578439800000e+01, 1.303583e+00, 1.954472e+00
-8.568635868800e+01, 1.303423e+00, 1.954369e+00
-8.558831937600e+01, 1.303738e+00, 1.954237e+00
-8.549028006400e+01, 1.303315e+00, 1.954164e+00
-8.539224075200e+01, 1.303998e+00, 1.953959e+00
-8.529420144000e+01, 1.304067e+00, 1.600278e+00
-8.519616212800e+01, 1.303878e+00, 1.032218e+00
-8.509812281600e+01, 1.303513e+00, 9.774768e-01
-8.500008350400e+01, 1.302804e+00, 8.646242e-01
-8.490204419200e+01, 1.303387e+00, 9.694787e-01
-8.480400488000e+01, 1.302740e+00, 1.038163e+00
-8.470596556800e+01, 1.303399e+00, 8.778214e-01
-8.460792625600e+01, 1.302864e+00, 9.012231e-01
-8.450988694400e+01, 1.302270e+00, 1.032897e+00
-8.441184763200e+01, 1.302510e+00, 9.526700e-01
-8.431380832000e+01, 1.301799e+00, 8.647169e-01
-8.421576900800e+01, 1.302138e+00, 9.946888e-01
-8.411772969600e+01, 1.301851e+00, 1.026562e+00
-8.401969038400e+01, 1.301941e+00, 8.655642e-01
-8.392165107200e+01, 1.301952e+00, 9.266267e-01
-8.382361176000e+01, 1.302128e+00, 1.033147e+00
-8.372557244800e+01, 1.301728e+00, 9.266642e-01
-8.362753313600e+01, 1.301741e+00, 8.648619e-01
-8.352949382400e+01, 1.301595e+00, 1.020144e+00
-8.343145451200e+01, 1.301495e+00, 1.001770e+00
-8.333341520000e+01, 1.301859e+00, 8.649167e-01
-8.323537588800e+01, 1.303213e+00, 9.518895e-01
-8.313733657600e+01, 1.302056e+00, 1.033277e+00
-8.303929726400e+01, 1.300875e+00, 9.018785e-01
-8.294125795200e+01, 1.302464e+00, 8.779704e-01
-8.284321864000e+01, 1.305078e+00, 1.032885e+00
-8.274517932800e+01, 1.304092e+00, 9.765465e-01
-8.264714001600e+01, 1.301591e+00, 8.655116e-01
-8.254910070400e+01, 1.300817e+00, 9.724899e-01
-8.245106139200e+01, 1.300721e+00, 1.040478e+00
-8.235302208000e+01, 1.300709e+00, 8.765575e-01
-8.225498276800e+01, 1.300903e+00, 9.036626e-01
