% Moku:Go Lock-In Amplifier
% Input 1, DC coupling, 0 dB attenuation
% Input 2, DC coupling, 0 dB attenuation
% Internal demodulation: 1.000 000 000 kHz, 10.000 000 deg
% Lowpass filter corner frequency 9.0 Hz (time constant 17.7 ms), slope 12 dB / octave
% Output 1 - I signal, +0.0 dB gain, invert off, offset 0.000 0 V, output disabled
% Output 2 - Demodulation signal, amplitude 10.000 Vpp, offset 0.000 0 V, output enabled
% Acquired 2025-06-03 T 16:06:46 +0200
% Time (s), Probe A (Probe A) (V), Probe B (Probe B) (V)
-9.117656016000e+01, 1.093217e+00, -7.510860e-05
-9.107852084800e+01, 1.093240e+00, -7.168994e-05
-9.098048153600e+01, 1.093348e+00, -7.740472e-05
-9.088244222400e+01, 1.093307e+00, -7.709857e-05
-9.078440291200e+01, 1.093290e+00, -7.745575e-05
-9.068636360000e+01, 1.093858e+00, -7.929264e-05
-9.058832428800e+01, 1.093760e+00, -7.750677e-05
-9.049028497600e+01, 1.094283e+00, -8.373180e-05
-9.039224566400e+01, 1.094145e+00, -7.378196e-05
-9.029420635200e+01, 1.094295e+00, -7.704755e-05
-9.019616704000e+01, 1.094575e+00, -7.939469e-05
-9.009812772800e+01, 1.094263e+00, -7.709857e-05
-9.000008841600e+01, 1.097908e+00, -6.531183e-05
-8.990204910400e+01, 1.101090e+00, -7.786394e-05
-8.980400979200e+01, 1.101244e+00, -7.806804e-05
-8.970597048000e+01, 1.100198e+00, -7.480245e-05
-8.960793116800e+01, 1.100904e+00, -7.873137e-05
-8.950989185600e+01, 1.100895e+00, -7.781292e-05
-8.941185254400e+01, 1.099979e+00, -7.572090e-05
-8.931381323200e+01, 1.100587e+00, -7.959879e-05
-8.921577392000e+01, 1.100618e+00, -7.378196e-05
-8.911773460800e+01, 1.100494e+00, -7.260838e-05
-8.901969529600e+01, 1.100992e+00, -7.505758e-05
-8.892165598400e+01, 1.100582e+00, -7.306761e-05
-8.882361667200e+01, 1.100672e+00, -6.964894e-05
-8.872557736000e+01, 1.100430e+00, -7.908854e-05
-8.862753804800e+01, 1.100291e+00, -6.163804e-05
-8.852949873600e+01, 1.099619e+00, -4.030964e-06
-8.843145942400e+01, 1.101286e+00, -7.776190e-05
-8.833342011200e+01, 1.098313e+00, -6.847537e-05
-8.823538080000e+01, 1.095146e+00, -7.561885e-05
-8.813734148800e+01, 1.095265e+00, -8.107851e-05
-8.803930217600e+01, 1.095407e+00, -7.439425e-05
-8.794126286400e+01, 1.095558e+00, -8.199696e-05
-8.784322355200e+01, 1.095332e+00, -7.271043e-05
-8.774518424000e+01, 1.094998e+00, -7.811907e-05
-8.764714492800e+01, 1.095286e+00, -7.536373e-05
-8.754910561600e+01, 1.094861e+00, -7.699652e-05
-8.745106630400e+01, 1.094632e+00, -8.092544e-05
-8.735302699200e+01, 1.094740e+00, -7.842522e-05
-8.725498768000e+01, 1.094603e+00, -7.541475e-05
-8.715694836800e+01, 1.094945e+00, -7.521065e-05
-8.705890905600e+01, 1.094459e+00, -7.362888e-05
-8.696086974400e+01, 1.094665e+00, -8.005801e-05
-8.686283043200e+01, 1.094465e+00, -7.541475e-05
-8.676479112000e+01, 1.094415e+00, -7.521065e-05
-8.666675180800e+01, 1.094643e+00, -7.286351e-05
-8.656871249600e+01, 1.094477e+00, -7.776190e-05
-8.647067318400e+01, 1.094478e+00, -7.628217e-05
-8.637263387200e+01, 1.093886e+00, -7.924162e-05
-8.627459456000e+01, 1.094047e+00, -7.658832e-05
-8.617655524800e+01, 1.093915e+00, -7.959879e-05
-8.607851593600e+01, 1.093948e+00, -7.102661e-05
-8.598047662400e+01, 1.094365e+00, -7.801702e-05
-8.588243731200e+01, 1.093947e+00, -8.072134e-05
-8.578439800000e+01, 1.094226e+00, -8.220106e-05
-8.568635868800e+01, 1.094235e+00, -7.944572e-05
-8.558831937600e+01, 1.094608e+00, -8.322156e-05
-8.549028006400e+01, 1.094951e+00, -8.031314e-05
-8.539224075200e+01, 1.094480e+00, -7.618012e-05
-8.529420144000e+01, 1.094774e+00, -8.153774e-05
-8.519616212800e+01, 1.094586e+00, -7.776190e-05
-8.509812281600e+01, 1.095066e+00, -6.531183e-05
-8.500008350400e+01, 1.094741e+00, -8.199696e-05
-8.490204419200e+01, 1.094554e+00, -7.306761e-05
-8.480400488000e+01, 1.095154e+00, -7.648627e-05
-8.470596556800e+01, 1.094130e+00, -8.051724e-05
-8.460792625600e+01, 1.094398e+00, -8.852814e-05
-8.450988694400e+01, 1.094162e+00, -8.888532e-05
-8.441184763200e+01, 1.094949e+00, -8.046621e-05
-8.431380832000e+01, 1.094818e+00, -7.092456e-05
-8.421576900800e+01, 1.094398e+00, -7.648627e-05
-8.411772969600e+01, 1.094872e+00, -7.296556e-05
-8.401969038400e+01, 1.094670e+00, -6.689360e-05
-8.392165107200e+01, 1.094974e+00, -7.730267e-05
-8.382361176000e+01, 1.094445e+00, -8.311951e-05
-8.372557244800e+01, 1.094717e+00, -7.378196e-05
-8.362753313600e+01, 1.094698e+00, -6.893459e-05
-8.352949382400e+01, 1.094916e+00, -7.765985e-05
-8.343145451200e+01, 1.095106e+00, -7.934367e-05
-8.333341520000e+01, 1.094555e+00, -7.087354e-05
-8.323537588800e+01, 1.094869e+00, -7.888444e-05
-8.313733657600e+01, 1.094627e+00, -8.128261e-05
-8.303929726400e+01, 1.094809e+00, -7.526168e-05
-8.294125795200e+01, 1.094533e+00, -8.368078e-05
-8.284321864000e+01, 1.094546e+00, -8.337463e-05
-8.274517932800e+01, 1.094538e+00, -8.347668e-05
-8.264714001600e+01, 1.094236e+00, -7.995596e-05
-8.254910070400e+01, 1.094326e+00, -7.531270e-05
-8.245106139200e+01, 1.094568e+00, -8.209901e-05
-8.235302208000e+01, 1.094397e+00, -7.929264e-05
-8.225498276800e+01, 1.094893e+00, -7.245531e-05
-8.215694345600e+01, 1.094520e+00, -8.041519e-05
-8.205890414400e+01, 1.094414e+00, -8.128261e-05
-8.196086483200e+01, 1.094108e+00, -7.444528e-05
-8.186282552000e+01, 1.094256e+00, -7.975186e-05
-8.176478620800e+01, 1.094226e+00, -8.582382e-05
-8.166674689600e+01, 1.094531e+00, -7.868034e-05
-8.156870758400e+01, 1.094421e+00, -7.888444e-05
-8.147066827200e+01, 1.094009e+00, -8.072134e-05
-8.137262896000e+01, 1.094469e+00, -7.117969e-05
-8.127458964800e+01, 1.094009e+00, -7.954777e-05
-8.117655033600e+01, 1.094166e+00, -7.561885e-05
-8.107851102400e+01, 1.094445e+00, -7.679242e-05
-8.098047171200e+01, 1.093855e+00, -7.684345e-05
-8.088243240000e+01, 1.094102e+00, -7.250633e-05
-8.078439308800e+01, 1.093982e+00, -7.735370e-05
-8.068635377600e+01, 1.094137e+00, -7.373093e-05
-8.058831446400e+01, 1.094046e+00, -7.133276e-05
-8.049027515200e+01, 1.093983e+00, -7.510860e-05
-8.039223584000e+01, 1.093999e+00, -8.123159e-05
-8.029419652800e+01, 1.093770e+00, -7.592500e-05
-8.019615721600e+01, 1.093986e+00, -7.296556e-05
-8.009811790400e+01, 1.093669e+00, -7.230223e-05
-8.000007859200e+01, 1.094029e+00, -7.265941e-05
-7.990203928000e+01, 1.093615e+00, -7.750677e-05
-7.980399996800e+01, 1.093630e+00, -7.924162e-05
-7.970596065600e+01, 1.093738e+00, -7.546578e-05
-7.960792134400e+01, 1.093077e+00, -7.107764e-05
-7.950988203200e+01, 1.093820e+00, -7.480245e-05
-7.941184272000e+01, 1.093268e+00, -8.383385e-05
-7.931380340800e+01, 1.093594e+00, -8.347668e-05
-7.921576409600e+01, 1.093153e+00, -7.801702e-05
-7.911772478400e+01, 1.093391e+00, -8.689535e-05
-7.901968547200e+01, 1.093946e+00, -7.765985e-05
-7.892164616000e+01, 1.093863e+00, -7.658832e-05
-7.882360684800e+01, 1.093852e+00, -7.985391e-05
-7.872556753600e+01, 1.093538e+00, -7.862932e-05
-7.862752822400e+01, 1.093979e+00, -8.046621e-05
-7.852948891200e+01, 1.093453e+00, -7.709857e-05
-7.843144960000e+01, 1.093549e+00, -8.689535e-05
-7.833341028800e+01, 1.093544e+00, -7.817009e-05
-7.823537097600e+01, 1.093432e+00, -7.919059e-05
-7.813733166400e+01, 1.093808e+00, -7.765985e-05
-7.803929235200e+01, 1.093492e+00, -8.439513e-05
-7.794125304000e+01, 1.093619e+00, -8.184388e-05
-7.784321372800e+01, 1.093327e+00, -8.148671e-05
-7.774517441600e+01, 1.093934e+00, -8.419103e-05
-7.764713510400e+01, 1.094534e+00, -8.495640e-05
-7.754909579200e+01, 1.095163e+00, -7.638422e-05
-7.745105648000e+01, 1.094629e+00, -6.888357e-05
-7.735301716800e+01, 1.094095e+00, -6.592413e-05
-7.725497785600e+01, 1.093779e+00, -8.036416e-05
-7.715693854400e+01, 1.093926e+00, -6.944484e-05
-7.705889923200e+01, 1.093827e+00, -7.184301e-05
-7.696085992000e+01, 1.093687e+00, -8.163978e-05
-7.686282060800e+01, 1.093798e+00, -6.944484e-05
-7.676478129600e+01, 1.093277e+00, -7.842522e-05
-7.666674198400e+01, 1.093559e+00, -7.015919e-05
-7.656870267200e+01, 1.093326e+00, -8.332361e-05
-7.647066336000e+01, 1.093732e+00, -7.322068e-05
-7.637262404800e+01, 1.093797e+00, -8.220106e-05
-7.627458473600e+01, 1.093288e+00, -8.061929e-05
-7.617654542400e+01, 1.093619e+00, -7.179199e-05
-7.607850611200e+01, 1.093645e+00, -7.689447e-05
-7.598046680000e+01, 1.093927e+00, -7.225121e-05
-7.588242748800e+01, 1.093462e+00, -7.919059e-05
-7.578438817600e+01, 1.093915e+00, -7.061841e-05
-7.568634886400e+01, 1.093749e+00, -7.679242e-05
-7.558830955200e+01, 1.094168e+00, -8.148671e-05
-7.549027024000e+01, 1.094405e+00, -8.684432e-05
-7.539223092800e+01, 1.094011e+00, -7.383298e-05
-7.529419161600e+01, 1.094395e+00, -7.250633e-05
-7.519615230400e+01, 1.093461e+00, -7.689447e-05
-7.509811299200e+01, 1.094073e+00, -6.913869e-05
-7.500007368000e+01, 1.094349e+00, -7.623115e-05
-7.490203436800e+01, 1.094543e+00, -7.791497e-05
-7.480399505600e+01, 1.094983e+00, -7.429220e-05
-7.470595574400e+01, 1.095044e+00, -6.852639e-05
-7.460791643200e+01, 1.095638e+00, -7.061841e-05
-7.450987712000e+01, 1.095850e+00, -8.541563e-05
-7.441183780800e+01, 1.096167e+00, -7.990494e-05
-7.431379849600e+01, 1.096217e+00, -7.163891e-05
-7.421575918400e+01, 1.096605e+00, -7.842522e-05
-7.411771987200e+01, 1.096372e+00, -7.995596e-05
-7.401968056000e+01, 1.096025e+00, -7.597602e-05
-7.392164124800e+01, 1.095915e+00, -8.317053e-05
-7.382360193600e+01, 1.095673e+00, -8.822199e-05
-7.372556262400e+01, 1.096014e+00, -8.357873e-05
-7.362752331200e+01, 1.096846e+00, -7.245531e-05
-7.352948400000e+01, 1.096527e+00, -7.388401e-05
-7.343144468800e+01, 1.096698e+00, -7.990494e-05
-7.333340537600e+01, 1.096345e+00, -7.271043e-05
-7.323536606400e+01, 1.096511e+00, -7.643525e-05
-7.313732675200e+01, 1.097066e+00, -7.510860e-05
-7.303928744000e+01, 1.097026e+00, -8.551767e-05
-7.294124812800e+01, 1.097630e+00, -7.174096e-05
-7.284320881600e+01, 1.097222e+00, -8.169081e-05
-7.274516950400e+01, 1.097297e+00, -7.347581e-05
-7.264713019200e+01, 1.097058e+00, -7.061841e-05
-7.254909088000e+01, 1.097185e+00, -7.347581e-05
-7.245105156800e+01, 1.097285e+00, -8.322156e-05
-7.235301225600e+01, 1.096768e+00, -8.827302e-05
-7.225497294400e+01, 1.097467e+00, -7.878239e-05
-7.215693363200e+01, 1.097442e+00, -7.490450e-05
-7.205889432000e+01, 1.097600e+00, -7.990494e-05
-7.196085500800e+01, 1.097198e+00, -7.771087e-05
-7.186281569600e+01, 1.097305e+00, -7.623115e-05
-7.176477638400e+01, 1.096884e+00, -8.087441e-05
-7.166673707200e+01, 1.097153e+00, -8.704842e-05
-7.156869776000e+01, 1.097251e+00, -7.964982e-05
-7.147065844800e+01, 1.097621e+00, -7.505758e-05
-7.137261913600e+01, 1.097445e+00, -8.051724e-05
-7.127457982400e+01, 1.098011e+00, -7.281248e-05
-7.117654051200e+01, 1.097645e+00, -6.878152e-05
-7.107850120000e+01, 1.097666e+00, -7.470040e-05
-7.098046188800e+01, 1.098255e+00, -7.852727e-05
-7.088242257600e+01, 1.097863e+00, -7.893547e-05
-7.078438326400e+01, 1.097472e+00, -7.995596e-05
-7.068634395200e+01, 1.097218e+00, -8.362975e-05
-7.058830464000e+01, 1.097597e+00, -8.026211e-05
-7.049026532800e+01, 1.097510e+00, -7.117969e-05
-7.039222601600e+01, 1.097795e+00, -7.515963e-05
-7.029418670400e+01, 1.097804e+00, -7.970084e-05
-7.019614739200e+01, 1.097247e+00, -7.674140e-05
-7.009810808000e+01, 1.097742e+00, -7.036329e-05
-7.000006876800e+01, 1.097702e+00, -7.765985e-05
-6.990202945600e+01, 1.097568e+00, -8.087441e-05
-6.980399014400e+01, 1.097278e+00, -7.362888e-05
-6.970595083200e+01, 1.097366e+00, -6.827127e-05
-6.960791152000e+01, 1.097289e+00, -8.485435e-05
-6.950987220800e+01, 1.097045e+00, -8.153774e-05
-6.941183289600e+01, 1.097160e+00, -8.041519e-05
-6.931379358400e+01, 1.096903e+00, -8.225208e-05
-6.921575427200e+01, 1.097206e+00, -7.209814e-05
