  freq    |   ref    |    od    |   lock   
----------+----------+----------+----------
 2500.000 |  1.21260 |  1.25545 | -0.00024
 2500.811 |  1.21257 |  1.25436 | -0.00024
 2501.622 |  1.21233 |  1.25387 | -0.00024
 2502.433 |  1.21238 |  1.25413 | -0.00024
 2503.244 |  1.21249 |  1.25319 | -0.00024
 2504.056 |  1.21296 |  1.25327 | -0.00024
 2504.867 |  1.21206 |  1.25318 | -0.00024
 2505.678 |  1.21271 |  1.25340 | -0.00024
 2506.489 |  1.21251 |  1.25284 | -0.00022
 2507.300 |  1.21219 |  1.25215 | -0.00022
 2508.111 |  1.21316 |  1.25254 | -0.00022
 2508.922 |  1.21459 |  1.25161 | -0.00023
 2509.733 |  1.21467 |  1.25199 | -0.00024
 2510.545 |  1.21463 |  1.25135 | -0.00024
 2511.356 |  1.21455 |  1.25188 | -0.00024
 2512.167 |  1.21677 |  1.25147 | -0.00024
 2512.978 |  1.21579 |  1.25100 | -0.00024
 2513.789 |  1.21765 |  1.25152 | -0.00024
 2514.600 |  1.21728 |  1.25044 | -0.00024
 2515.411 |  1.21888 |  1.25073 | -0.00024
 2516.222 |  1.21867 |  1.25106 | -0.00024
 2517.034 |  1.21978 |  1.25014 | -0.00024
 2517.845 |  1.22165 |  1.25042 | -0.00024
 2518.656 |  1.22216 |  1.24949 | -0.00024
 2519.467 |  1.22346 |  1.25026 | -0.00024
 2520.278 |  1.22384 |  1.25017 | -0.00024
 2521.089 |  1.22385 |  1.25014 | -0.00024
 2521.900 |  1.22442 |  1.24980 | -0.00024
 2522.711 |  1.22483 |  1.24954 | -0.00024
 2523.523 |  1.22502 |  1.24961 | -0.00024
 2524.334 |  1.22557 |  1.24924 | -0.00024
 2525.145 |  1.22508 |  1.24945 | -0.00024
 2525.956 |  1.22523 |  1.24862 | -0.00023
 2526.767 |  1.22523 |  1.24877 | -0.00024
 2527.578 |  1.22557 |  1.24805 | -0.00024
 2528.389 |  1.22500 |  1.24835 | -0.00024
 2529.200 |  1.22466 |  1.24815 | -0.00023
 2530.012 |  1.22087 |  1.24856 | -0.00023
 2530.823 |  1.22190 |  1.24867 | -0.00024
 2531.634 |  1.22462 |  1.24868 | -0.00023
 2532.445 |  1.22376 |  1.24813 | -0.00023
 2533.256 |  1.22372 |  1.24819 | -0.00024
 2534.067 |  1.22403 |  1.24829 | -0.00023
 2534.878 |  1.22313 |  1.24729 | -0.00023
 2535.689 |  1.22334 |  1.24824 | -0.00023
 2536.501 |  1.22245 |  1.24811 | -0.00024
 2537.312 |  1.22295 |  1.24864 | -0.00023
 2538.123 |  1.22199 |  1.24891 | -0.00023
 2538.934 |  1.22187 |  1.24876 | -0.00023
 2539.745 |  1.22193 |  1.24854 | -0.00023
 2540.556 |  1.22160 |  1.24828 | -0.00023
 2541.367 |  1.22177 |  1.24875 | -0.00023
 2542.178 |  1.22114 |  1.24862 | -0.00023
 2542.990 |  1.22171 |  1.24883 | -0.00023
 2543.801 |  1.22139 |  1.24972 | -0.00023
 2544.612 |  1.22098 |  1.24931 | -0.00024
 2545.423 |  1.22105 |  1.24999 | -0.00024
 2546.234 |  1.22067 |  1.24899 | -0.00023
 2547.045 |  1.22086 |  1.24962 | -0.00024
 2547.856 |  1.22054 |  1.24937 | -0.00024
 2548.667 |  1.22124 |  1.25007 | -0.00023
 2549.479 |  1.22070 |  1.25050 | -0.00023
 2550.290 |  1.22106 |  1.25034 | -0.00024
 2551.101 |  1.22134 |  1.25100 | -0.00023
 2551.912 |  1.22080 |  1.25015 | -0.00023
 2552.723 |  1.22138 |  1.25107 | -0.00023
 2553.534 |  1.22010 |  1.25077 | -0.00023
 2554.345 |  1.22123 |  1.25146 | -0.00023
 2555.156 |  1.22187 |  1.25264 | -0.00023
 2555.968 |  1.22152 |  1.25181 | -0.00023
 2556.779 |  1.22041 |  1.25270 | -0.00023
 2557.590 |  1.21875 |  1.25297 | -0.00023
 2558.401 |  1.22074 |  1.25344 | -0.00024
 2559.212 |  1.22002 |  1.25425 | -0.00024
 2560.023 |  1.22009 |  1.25432 | -0.00023
 2560.834 |  1.21944 |  1.25576 | -0.00023
 2561.645 |  1.21943 |  1.25519 | -0.00023
 2562.457 |  1.21938 |  1.25643 | -0.00023
 2563.268 |  1.21908 |  1.25660 | -0.00023
 2564.079 |  1.21926 |  1.25707 | -0.00024
 2564.890 |  1.21847 |  1.25773 | -0.00024
 2565.701 |  1.21885 |  1.25794 | -0.00023
 2566.512 |  1.21872 |  1.25848 | -0.00024
 2567.323 |  1.21836 |  1.25883 | -0.00024
 2568.134 |  1.21883 |  1.25888 | -0.00023
 2568.946 |  1.21864 |  1.25928 | -0.00023
 2569.757 |  1.21812 |  1.25882 | -0.00023
 2570.568 |  1.21866 |  1.25900 | -0.00024
 2571.379 |  1.21925 |  1.25938 | -0.00024
 2572.190 |  1.21886 |  1.25894 | -0.00024
 2573.001 |  1.21866 |  1.25908 | -0.00023
 2573.812 |  1.21899 |  1.25839 | -0.00024
 2574.623 |  1.21781 |  1.25856 | -0.00024
 2575.435 |  1.21833 |  1.25893 | -0.00024
 2576.246 |  1.21765 |  1.25828 | -0.00024
 2577.057 |  1.21837 |  1.25910 | -0.00024
 2577.868 |  1.21805 |  1.25877 | -0.00024
 2578.679 |  1.21904 |  1.25828 | -0.00024
 2579.490 |  1.21900 |  1.25771 | -0.00024
 2580.301 |  1.21861 |  1.25765 | -0.00024
 2581.112 |  1.21825 |  1.25755 | -0.00024
 2581.924 |  1.21829 |  1.25721 | -0.00023
 2582.735 |  1.21900 |  1.25729 | -0.00024
 2583.546 |  1.21873 |  1.25692 | -0.00024
 2584.357 |  1.21978 |  1.25716 | -0.00024
 2585.168 |  1.21902 |  1.25736 | -0.00024
 2585.979 |  1.21959 |  1.25670 | -0.00024
 2586.790 |  1.22013 |  1.25722 | -0.00023
 2587.601 |  1.21989 |  1.25647 | -0.00024
 2588.413 |  1.22204 |  1.25714 | -0.00024
 2589.224 |  1.22114 |  1.25661 | -0.00023
 2590.035 |  1.22257 |  1.25632 | -0.00024
 2590.846 |  1.22278 |  1.25600 | -0.00024
 2591.657 |  1.22339 |  1.25569 | -0.00024
 2592.468 |  1.22479 |  1.25565 | -0.00024
 2593.279 |  1.22515 |  1.25533 | -0.00024
 2594.090 |  1.22663 |  1.25586 | -0.00024
 2594.902 |  1.22701 |  1.25517 | -0.00024
 2595.713 |  1.22813 |  1.25552 | -0.00024
 2596.524 |  1.22847 |  1.25514 | -0.00024
 2597.335 |  1.22895 |  1.25448 | -0.00024
 2598.146 |  1.22984 |  1.25515 | -0.00024
 2598.957 |  1.22971 |  1.25436 | -0.00024
 2599.768 |  1.23017 |  1.25477 | -0.00024
 2600.579 |  1.23023 |  1.25414 | -0.00023
 2601.390 |  1.23000 |  1.25376 | -0.00024
 2602.202 |  1.22948 |  1.25446 | -0.00024
 2603.013 |  1.22909 |  1.25363 | -0.00024
 2603.824 |  1.22892 |  1.25352 | -0.00024
 2604.635 |  1.22909 |  1.25362 | -0.00024
 2605.446 |  1.22843 |  1.25362 | -0.00024
 2606.257 |  1.22885 |  1.25325 | -0.00024
 2607.068 |  1.22748 |  1.25307 | -0.00024
 2607.879 |  1.22772 |  1.25335 | -0.00025
 2608.691 |  1.22729 |  1.25228 | -0.00024
 2609.502 |  1.22644 |  1.25364 | -0.00024
 2610.313 |  1.22745 |  1.25277 | -0.00024
 2611.124 |  1.22686 |  1.25274 | -0.00024
 2611.935 |  1.22726 |  1.25262 | -0.00024
 2612.746 |  1.22670 |  1.25273 | -0.00024
 2613.557 |  1.22643 |  1.25228 | -0.00024
 2614.368 |  1.22643 |  1.25173 | -0.00024
 2615.180 |  1.22613 |  1.25203 | -0.00024
 2615.991 |  1.22586 |  1.25175 | -0.00024
 2616.802 |  1.22520 |  1.25232 | -0.00024
 2617.613 |  1.22619 |  1.25165 | -0.00024
 2618.424 |  1.22535 |  1.25162 | -0.00024
 2619.235 |  1.22537 |  1.25116 | -0.00024
 2620.046 |  1.22586 |  1.25130 | -0.00024
 2620.857 |  1.22454 |  1.25109 | -0.00024
 2621.669 |  1.22500 |  1.25097 | -0.00025
 2622.480 |  1.22457 |  1.25240 | -0.00024
 2623.291 |  1.22459 |  1.25067 | -0.00024
 2624.102 |  1.22394 |  1.25005 | -0.00024
 2624.913 |  1.22379 |  1.24954 | -0.00023
 2625.724 |  1.22380 |  1.24991 | -0.00024
 2626.535 |  1.22373 |  1.24877 | -0.00024
 2627.346 |  1.22441 |  1.24940 | -0.00024
 2628.158 |  1.22369 |  1.25005 | -0.00024
 2628.969 |  1.22440 |  1.24928 | -0.00024
 2629.780 |  1.22334 |  1.24969 | -0.00024
 2630.591 |  1.22345 |  1.24894 | -0.00024
 2631.402 |  1.22310 |  1.24942 | -0.00024
 2632.213 |  1.22283 |  1.24933 | -0.00023
 2633.024 |  1.22314 |  1.24924 | -0.00024
 2633.835 |  1.22278 |  1.24969 | -0.00024
 2634.647 |  1.22289 |  1.24924 | -0.00024
 2635.458 |  1.22259 |  1.24995 | -0.00024
 2636.269 |  1.22313 |  1.24953 | -0.00023
 2637.080 |  1.22290 |  1.24953 | -0.00024
 2637.891 |  1.22292 |  1.24902 | -0.00023
 2638.702 |  1.22225 |  1.24903 | -0.00024
 2639.513 |  1.22244 |  1.24977 | -0.00024
 2640.324 |  1.22265 |  1.24894 | -0.00024
 2641.136 |  1.22133 |  1.25048 | -0.00023
 2641.947 |  1.22180 |  1.25026 | -0.00023
 2642.758 |  1.22164 |  1.25032 | -0.00024
