  freq    |   ref    |    od    |   lock   
----------+----------+----------+----------
 2500.000 |  0.99242 |  1.02769 | -0.00007
 2500.500 |  0.99220 |  1.02782 | -0.00007
 2501.000 |  0.99210 |  1.02771 | -0.00007
 2501.500 |  0.99216 |  1.02759 | -0.00008
 2502.000 |  0.99207 |  1.02773 | -0.00007
 2502.500 |  0.99203 |  1.02760 | -0.00007
 2503.000 |  0.99193 |  1.02761 | -0.00008
 2503.500 |  0.99177 |  1.02771 | -0.00007
 2504.000 |  0.99177 |  1.02768 | -0.00007
 2504.500 |  0.99159 |  1.02784 | -0.00007
 2505.000 |  0.99170 |  1.02773 | -0.00007
 2505.500 |  0.99138 |  1.02787 | -0.00008
 2506.000 |  0.99150 |  1.02799 | -0.00007
 2506.500 |  0.99156 |  1.02787 | -0.00007
 2507.000 |  0.99144 |  1.02798 | -0.00007
 2507.500 |  0.99106 |  1.02790 | -0.00007
 2508.000 |  0.99156 |  1.02800 | -0.00007
 2508.500 |  0.99135 |  1.02759 | -0.00007
 2509.000 |  0.99114 |  1.02772 | -0.00007
 2509.500 |  0.99110 |  1.02792 | -0.00008
 2510.000 |  0.99103 |  1.02790 | -0.00007
 2510.500 |  0.99097 |  1.02788 | -0.00006
 2511.000 |  0.99073 |  1.02814 | -0.00007
 2511.500 |  0.99046 |  1.02792 | -0.00007
 2512.000 |  0.99031 |  1.02777 | -0.00007
 2512.500 |  0.99031 |  1.02744 | -0.00007
 2513.000 |  0.99062 |  1.02771 | -0.00007
 2513.500 |  0.99053 |  1.02769 | -0.00007
 2514.000 |  0.99072 |  1.02779 | -0.00007
 2514.500 |  0.99026 |  1.02775 | -0.00008
 2515.000 |  0.99013 |  1.02704 | -0.00007
 2515.500 |  0.99035 |  1.02750 | -0.00007
 2516.000 |  0.99010 |  1.02773 | -0.00007
 2516.500 |  0.98983 |  1.02776 | -0.00007
 2517.000 |  0.99012 |  1.02795 | -0.00007
 2517.500 |  0.98970 |  1.02814 | -0.00007
 2518.000 |  0.98964 |  1.02817 | -0.00007
 2518.500 |  0.98960 |  1.02795 | -0.00007
 2519.000 |  0.98977 |  1.02802 | -0.00007
 2519.500 |  0.98955 |  1.02820 | -0.00008
 2520.000 |  0.98953 |  1.02804 | -0.00007
 2520.500 |  0.98926 |  1.02773 | -0.00007
 2521.000 |  0.98898 |  1.02828 | -0.00007
