  freq    |   ref    |    od    |   lock   
----------+----------+----------+----------
 2500.000 |  1.18380 |  0.39838 | -0.10569
 2500.817 |  1.18379 |  0.38305 | -0.11789
 2501.634 |  1.18399 |  0.39013 | -0.11382
 2502.450 |  1.18412 |  0.40380 | -0.10163
 2503.267 |  1.18337 |  0.39378 | -0.10569
 2504.084 |  1.18389 |  0.38048 | -0.11382
 2504.901 |  1.18372 |  0.37181 | -0.10976
 2505.718 |  1.18415 |  0.36380 | -0.10163
 2506.534 |  1.18464 |  0.36964 | -0.10163
 2507.351 |  1.18403 |  0.36890 | -0.11382
 2508.168 |  1.18495 |  0.33591 | -0.10569
 2508.985 |  1.18462 |  0.31347 | -0.10569
 2509.802 |  1.18473 |  0.29367 | -0.11789
 2510.618 |  1.18574 |  0.31932 | -0.10163
 2511.435 |  1.18502 |  0.32720 | -0.10569
 2512.252 |  1.18572 |  0.29889 | -0.12195
 2513.069 |  1.18557 |  0.27980 | -0.12195
 2513.886 |  1.18616 |  0.30089 | -0.11382
 2514.702 |  1.18698 |  0.25681 | -0.11789
 2515.519 |  1.18681 |  0.27661 | -0.10976
 2516.336 |  1.18799 |  0.27271 | -0.10569
 2517.153 |  1.18714 |  0.25895 | -0.10163
 2517.970 |  1.18799 |  0.25706 | -0.10976
 2518.786 |  1.18782 |  0.22819 | -0.11382
 2519.603 |  1.18800 |  0.24936 | -0.10569
 2520.420 |  1.18940 |  0.20866 | -0.10976
 2521.237 |  1.18918 |  0.21669 | -0.11382
 2522.054 |  1.19242 |  0.19247 | -0.11789
 2522.870 |  1.19248 |  0.16629 | -0.11789
 2523.687 |  1.19261 |  0.17765 | -0.11789
 2524.504 |  1.19323 |  0.16334 | -0.11789
 2525.321 |  1.19287 |  0.19184 | -0.11382
 2526.138 |  1.19332 |  0.19139 | -0.11789
 2526.954 |  1.19337 |  0.18239 | -0.10976
 2527.771 |  1.19378 |  0.18130 | -0.10976
 2528.588 |  1.19361 |  0.14862 | -0.10569
 2529.405 |  1.19371 |  0.13373 | -0.11789
 2530.222 |  1.19309 | -0.04048 | -0.11382
 2531.039 |  1.19338 | -0.02506 | -0.10569
 2531.855 |  1.19383 | -0.04518 | -0.10569
 2532.672 |  1.19340 | -0.10677 | -0.11789
 2533.489 |  1.19357 | -0.09856 | -0.11382
 2534.306 |  1.19352 | -0.09691 | -0.10569
 2535.123 |  1.19307 | -0.14991 | -0.11789
 2535.939 |  1.19321 | -0.13705 | -0.10569
 2536.756 |  1.19289 | -0.15446 | -0.10569
 2537.573 |  1.19221 | -0.15936 | -0.11382
 2538.390 |  1.19199 | -0.17543 | -0.10976
 2539.207 |  1.19217 | -0.19479 | -0.10163
 2540.023 |  1.19224 | -0.17857 | -0.10569
 2540.840 |  1.19226 | -0.19000 | -0.10976
 2541.657 |  1.19217 | -0.15731 | -0.11789
 2542.474 |  1.19209 | -0.19571 | -0.11382
 2543.291 |  1.19192 | -0.19789 | -0.10163
 2544.107 |  1.19210 | -0.26128 | -0.11789
 2544.924 |  1.19193 | -0.22525 | -0.10163
 2545.741 |  1.19193 | -0.26360 | -0.10569
 2546.558 |  1.19195 | -0.24203 | -0.10569
 2547.375 |  1.19179 | -0.24020 | -0.10976
 2548.191 |  1.19168 | -0.27851 | -0.10569
 2549.008 |  1.19179 | -0.26809 | -0.10569
 2549.825 |  1.19179 | -0.24647 | -0.10569
