  freq    |   ref    |    od    |   lock   
----------+----------+----------+----------
 2500.000 |  1.30388 | -0.10731 | -0.09350
 2500.250 |  1.30351 | -0.08542 | -0.08943
 2500.500 |  1.30280 | -0.11290 | -0.09350
 2500.750 |  1.30339 | -0.08045 | -0.09350
 2501.000 |  1.30274 | -0.08880 | -0.09350
 2501.250 |  1.30340 | -0.08990 | -0.09350
 2501.500 |  1.30286 | -0.09361 | -0.09350
 2501.750 |  1.30227 | -0.09797 | -0.09350
 2502.000 |  1.30251 | -0.09112 | -0.09350
 2502.250 |  1.30180 | -0.10993 | -0.08943
 2502.500 |  1.30214 | -0.07737 | -0.09350
 2502.750 |  1.30185 | -0.10603 | -0.09350
 2503.000 |  1.30194 | -0.07673 | -0.09350
 2503.250 |  1.30195 | -0.08824 | -0.09350
 2503.500 |  1.30213 | -0.09117 | -0.09350
 2503.750 |  1.30173 | -0.04932 | -0.09350
 2504.000 |  1.30174 | -0.08054 | -0.09350
 2504.250 |  1.30160 | -0.05973 | -0.09350
 2504.500 |  1.30150 | -0.06063 | -0.09756
 2504.750 |  1.30186 | -0.05757 | -0.08943
 2505.000 |  1.30321 | -0.06634 | -0.09350
 2505.250 |  1.30206 | -0.07970 | -0.09350
 2505.500 |  1.30088 | -0.03248 | -0.09350
 2505.750 |  1.30246 | -0.05240 | -0.09350
 2506.000 |  1.30508 | -0.05124 | -0.09350
 2506.250 |  1.30409 | -0.05402 | -0.09350
 2506.500 |  1.30159 | -0.05151 | -0.09350
 2506.750 |  1.30082 | -0.06018 | -0.09350
 2507.000 |  1.30072 | -0.05896 | -0.09350
 2507.250 |  1.30071 | -0.04983 | -0.09350
 2507.500 |  1.30090 | -0.08940 | -0.08943
 2507.750 |  1.30111 | -0.08748 | -0.09350
 2508.000 |  1.30050 | -0.06052 | -0.09350
 2508.250 |  1.30100 | -0.06384 | -0.09350
 2508.500 |  1.30056 | -0.03027 | -0.09350
 2508.750 |  1.30090 | -0.06056 | -0.09350
 2509.000 |  1.30077 | -0.10663 | -0.09350
 2509.250 |  1.30103 | -0.15730 | -0.09350
 2509.500 |  1.30098 | -0.14408 | -0.09350
 2509.750 |  1.30114 | -0.12032 | -0.09756
 2510.000 |  1.30157 | -0.13210 | -0.08943
 2510.250 |  1.30114 | -0.11621 | -0.09350
 2510.500 |  1.30180 | -0.14311 | -0.09350
 2510.750 |  1.30108 | -0.12851 | -0.09350
 2511.000 |  1.30162 | -0.13365 | -0.09350
 2511.250 |  1.30159 | -0.12297 | -0.09350
 2511.500 |  1.30154 | -0.11755 | -0.09350
 2511.750 |  1.30260 | -0.13187 | -0.09350
 2512.000 |  1.30206 | -0.12708 | -0.09350
 2512.250 |  1.30296 | -0.13478 | -0.09350
 2512.500 |  1.30249 | -0.15630 | -0.09756
 2512.750 |  1.30308 | -0.11130 | -0.09756
 2513.000 |  1.30356 | -0.04655 | -0.09350
 2513.250 |  1.30403 |  0.00901 | -0.09350
 2513.500 |  1.30513 | -0.04340 | -0.09350
 2513.750 |  1.30526 | -0.00889 | -0.09350
 2514.000 |  1.30602 | -0.00267 | -0.09350
 2514.250 |  1.30648 |  0.00356 | -0.09350
 2514.500 |  1.30715 |  0.00387 | -0.08943
 2514.750 |  1.30824 | -0.00238 | -0.09350
 2515.000 |  1.30849 |  0.03944 | -0.09350
 2515.250 |  1.30921 | -0.02077 | -0.08943
 2515.500 |  1.30935 |  0.03358 | -0.08943
 2515.750 |  1.30948 |  0.01092 | -0.09756
 2516.000 |  1.31040 |  0.00407 | -0.09350
 2516.250 |  1.31055 |  0.04728 | -0.09350
 2516.500 |  1.31107 |  0.02861 | -0.09350
 2516.750 |  1.31139 |  0.07183 | -0.09350
 2517.000 |  1.31130 |  0.04792 | -0.09350
 2517.250 |  1.31113 |  0.07735 | -0.09350
 2517.500 |  1.31147 |  0.08111 | -0.09350
 2517.750 |  1.31110 |  0.07238 | -0.09350
 2518.000 |  1.31148 |  0.06827 | -0.09350
 2518.250 |  1.31041 |  0.06022 | -0.09350
 2518.500 |  1.31092 |  0.09564 | -0.09350
 2518.750 |  1.31015 |  0.08498 | -0.09350
 2519.000 |  1.31052 |  0.09738 | -0.09350
 2519.250 |  1.31055 |  0.10585 | -0.09350
 2519.500 |  1.31082 |  0.10115 | -0.09350
 2519.750 |  1.31056 |  0.11227 | -0.08943
 2520.000 |  1.30984 |  0.12406 | -0.09350
 2520.250 |  1.30943 |  0.12204 | -0.09350
 2520.500 |  1.30913 |  0.11674 | -0.09350
 2520.750 |  1.30937 |  0.11935 | -0.09350
 2521.000 |  1.30980 |  0.11473 | -0.09350
 2521.250 |  1.30818 |  0.10749 | -0.08943
 2521.500 |  1.30937 |  0.12791 | -0.08943
 2521.750 |  1.30852 |  0.13913 | -0.08943
 2522.000 |  1.30908 |  0.15695 | -0.09350
 2522.250 |  1.30841 |  0.15897 | -0.09350
 2522.500 |  1.30911 |  0.15772 | -0.08943
 2522.750 |  1.30863 |  0.15977 | -0.09350
 2523.000 |  1.30835 |  0.15788 | -0.09350
 2523.250 |  1.30839 |  0.15271 | -0.08943
 2523.500 |  1.30651 |  0.15348 | -0.09350
 2523.750 |  1.30668 |  0.15360 | -0.09350
 2524.000 |  1.30650 |  0.16690 | -0.09756
 2524.250 |  1.30619 |  0.17166 | -0.09350
 2524.500 |  1.30632 |  0.16326 | -0.08943
 2524.750 |  1.30499 |  0.16738 | -0.09350
 2525.000 |  1.30586 |  0.18138 | -0.09350
 2525.250 |  1.30526 |  0.17565 | -0.08943
 2525.500 |  1.30613 |  0.15742 | -0.08943
 2525.750 |  1.30480 |  0.15632 | -0.09350
 2526.000 |  1.30497 |  0.17696 | -0.09350
 2526.250 |  1.30523 |  0.17127 | -0.08943
 2526.500 |  1.30672 |  0.17810 | -0.09350
 2526.750 |  1.30786 |  0.17902 | -0.09350
 2527.000 |  1.30733 |  0.15494 | -0.09350
 2527.250 |  1.30693 |  0.15785 | -0.09350
 2527.500 |  1.30640 |  0.16210 | -0.08943
 2527.750 |  1.30658 |  0.16636 | -0.08943
 2528.000 |  1.30595 |  0.14890 | -0.08943
 2528.250 |  1.30554 |  0.14199 | -0.09350
 2528.500 |  1.30604 |  0.14562 | -0.08943
 2528.750 |  1.30592 |  0.14005 | -0.09350
 2529.000 |  1.30572 |  0.12197 | -0.09350
 2529.250 |  1.30567 |  0.15132 | -0.09350
 2529.500 |  1.30564 |  0.13853 | -0.09350
 2529.750 |  1.30597 |  0.13037 | -0.09350
 2530.000 |  1.30571 |  0.13275 | -0.09350
 2530.250 |  1.30605 |  0.14305 | -0.08943
 2530.500 |  1.30568 |  0.13953 | -0.08943
 2530.750 |  1.30539 |  0.10375 | -0.09350
 2531.000 |  1.30563 |  0.10157 | -0.09350
 2531.250 |  1.30506 |  0.07635 | -0.09350
 2531.500 |  1.30470 |  0.01889 | -0.09756
 2531.750 |  1.30507 |  0.04768 | -0.09350
 2532.000 |  1.30637 |  0.02645 | -0.09350
 2532.250 |  1.30630 |  0.02893 | -0.08943
 2532.500 |  1.30664 |  0.03207 | -0.09350
 2532.750 |  1.30619 |  0.01680 | -0.09350
 2533.000 |  1.30646 | -0.00242 | -0.09350
 2533.250 |  1.30604 | -0.00451 | -0.08943
 2533.500 |  1.30622 | -0.01185 | -0.09350
 2533.750 |  1.30622 | -0.01063 | -0.09350
 2534.000 |  1.30627 | -0.00083 | -0.08943
 2534.250 |  1.30696 | -0.01539 | -0.09350
 2534.500 |  1.30704 |  0.00562 | -0.09350
 2534.750 |  1.30809 | -0.03788 | -0.09350
 2535.000 |  1.30727 | -0.03595 | -0.08943
 2535.250 |  1.30789 | -0.04125 | -0.08943
 2535.500 |  1.30807 | -0.02744 | -0.09350
 2535.750 |  1.30821 | -0.02152 | -0.09350
 2536.000 |  1.30931 | -0.00901 | -0.09350
 2536.250 |  1.30888 | -0.00110 | -0.09350
 2536.500 |  1.31009 | -0.01688 | -0.09350
 2536.750 |  1.31016 | -0.03200 | -0.08943
 2537.000 |  1.31115 | -0.02932 | -0.09350
 2537.250 |  1.31144 | -0.03849 | -0.09350
 2537.500 |  1.31167 | -0.05292 | -0.09350
 2537.750 |  1.31298 | -0.06140 | -0.09350
 2538.000 |  1.31277 | -0.04223 | -0.09350
