  freq    |   fit    
----------+----------
 2500.000 | -0.00059
 2500.817 | -0.00059
 2501.634 | -0.00060
 2502.450 | -0.00060
 2503.267 | -0.00060
 2504.084 | -0.00061
 2504.901 | -0.00061
 2505.718 | -0.00061
 2506.534 | -0.00061
 2507.351 | -0.00062
 2508.168 | -0.00062
 2508.985 | -0.00062
 2509.802 | -0.00063
 2510.618 | -0.00063
 2511.435 | -0.00063
 2512.252 | -0.00063
 2513.069 | -0.00064
 2513.886 | -0.00064
 2514.702 | -0.00064
 2515.519 | -0.00065
 2516.336 | -0.00065
 2517.153 | -0.00065
 2517.970 | -0.00066
 2518.786 | -0.00066
 2519.603 | -0.00066
 2520.420 | -0.00067
 2521.237 | -0.00067
 2522.054 | -0.00067
 2522.870 | -0.00068
 2523.687 | -0.00068
 2524.504 | -0.00068
 2525.321 | -0.00069
 2526.138 | -0.00069
 2526.954 | -0.00069
 2527.771 | -0.00070
 2528.588 | -0.00070
 2529.405 | -0.00070
 2530.222 | -0.00071
 2531.039 | -0.00071
 2531.855 | -0.00071
 2532.672 | -0.00072
 2533.489 | -0.00072
 2534.306 | -0.00072
 2535.123 | -0.00073
 2535.939 | -0.00073
 2536.756 | -0.00073
 2537.573 | -0.00074
 2538.390 | -0.00074
 2539.207 | -0.00075
 2540.023 | -0.00075
 2540.840 | -0.00075
 2541.657 | -0.00076
 2542.474 | -0.00076
 2543.291 | -0.00077
 2544.107 | -0.00077
 2544.924 | -0.00077
 2545.741 | -0.00078
 2546.558 | -0.00078
 2547.375 | -0.00079
 2548.191 | -0.00079
 2549.008 | -0.00079
 2549.825 | -0.00080
 2550.642 | -0.00080
 2551.459 | -0.00081
 2552.275 | -0.00081
 2553.092 | -0.00082
 2553.909 | -0.00082
 2554.726 | -0.00082
 2555.543 | -0.00083
 2556.359 | -0.00083
 2557.176 | -0.00084
 2557.993 | -0.00084
 2558.810 | -0.00085
 2559.627 | -0.00085
 2560.443 | -0.00086
 2561.260 | -0.00086
 2562.077 | -0.00087
 2562.894 | -0.00087
 2563.711 | -0.00088
 2564.527 | -0.00088
 2565.344 | -0.00089
 2566.161 | -0.00089
 2566.978 | -0.00090
 2567.795 | -0.00090
 2568.611 | -0.00091
 2569.428 | -0.00091
 2570.245 | -0.00092
 2571.062 | -0.00092
 2571.879 | -0.00093
 2572.695 | -0.00093
 2573.512 | -0.00094
 2574.329 | -0.00094
 2575.146 | -0.00095
 2575.963 | -0.00095
 2576.779 | -0.00096
 2577.596 | -0.00096
 2578.413 | -0.00097
 2579.230 | -0.00098
 2580.047 | -0.00098
 2580.863 | -0.00099
 2581.680 | -0.00099
 2582.497 | -0.00100
 2583.314 | -0.00101
 2584.131 | -0.00101
 2584.947 | -0.00102
 2585.764 | -0.00102
 2586.581 | -0.00103
 2587.398 | -0.00104
 2588.215 | -0.00104
 2589.032 | -0.00105
 2589.848 | -0.00106
 2590.665 | -0.00106
 2591.482 | -0.00107
 2592.299 | -0.00108
 2593.116 | -0.00108
 2593.932 | -0.00109
 2594.749 | -0.00110
 2595.566 | -0.00110
 2596.383 | -0.00111
 2597.200 | -0.00112
 2598.016 | -0.00112
 2598.833 | -0.00113
 2599.650 | -0.00114
