% Moku:Go Lock-In Amplifier
% Input 1, DC coupling, 0 dB attenuation
% Input 2, DC coupling, 0 dB attenuation
% Internal demodulation: 1.000 000 000 kHz, 10.000 000 deg
% Lowpass filter corner frequency 9.0 Hz (time constant 17.7 ms), slope 12 dB / octave
% Output 1 - I signal, +0.0 dB gain, invert off, offset 0.000 0 V, output disabled
% Output 2 - Demodulation signal, amplitude 10.000 Vpp, offset 0.000 0 V, output enabled
% Acquired 2025-06-03 T 15:51:26 +0200
% Time (s), Probe A (Probe A) (V), Probe B (Probe B) (V)
-9.372558227200e+01, 1.205964e+00, 1.028004e+00
-9.362754296000e+01, 1.207091e+00, 8.654267e-01
-9.352950364800e+01, 1.206345e+00, 9.254819e-01
-9.343146433600e+01, 1.206709e+00, 1.032790e+00
-9.333342502400e+01, 1.207082e+00, 9.276854e-01
-9.323538571200e+01, 1.207723e+00, 8.648467e-01
-9.313734640000e+01, 1.207085e+00, 1.020078e+00
-9.303930708800e+01, 1.207197e+00, 1.002203e+00
-9.294126777600e+01, 1.207093e+00, 8.650511e-01
-9.284322846400e+01, 1.206097e+00, 9.522157e-01
-9.274518915200e+01, 1.207140e+00, 1.032994e+00
-9.264714984000e+01, 1.207829e+00, 9.014520e-01
-9.254911052800e+01, 1.207592e+00, 8.779448e-01
-9.245107121600e+01, 1.207399e+00, 1.033006e+00
-9.235303190400e+01, 1.206832e+00, 9.765354e-01
-9.225499259200e+01, 1.207563e+00, 8.651005e-01
-9.215695328000e+01, 1.206611e+00, 9.713558e-01
-9.205891396800e+01, 1.207147e+00, 1.039532e+00
-9.196087465600e+01, 1.206681e+00, 8.763746e-01
-9.186283534400e+01, 1.206319e+00, 9.025547e-01
-9.176479603200e+01, 1.206821e+00, 1.033433e+00
-9.166675672000e+01, 1.206341e+00, 9.507484e-01
-9.156871740800e+01, 1.206683e+00, 8.649138e-01
-9.147067809600e+01, 1.206081e+00, 9.973767e-01
-9.137263878400e+01, 1.206915e+00, 1.025097e+00
-9.127459947200e+01, 1.206534e+00, 8.646031e-01
-9.117656016000e+01, 1.206505e+00, 9.290449e-01
-9.107852084800e+01, 1.207070e+00, 1.033218e+00
-9.098048153600e+01, 1.206120e+00, 9.244847e-01
-9.088244222400e+01, 1.208035e+00, 8.655402e-01
-9.078440291200e+01, 1.206766e+00, 1.022702e+00
-9.068636360000e+01, 1.206428e+00, 9.990209e-01
-9.058832428800e+01, 1.206977e+00, 8.647615e-01
-9.049028497600e+01, 1.206918e+00, 9.544186e-01
-9.039224566400e+01, 1.208316e+00, 1.061308e+00
-9.029420635200e+01, 1.214390e+00, 1.728855e+00
-9.019616704000e+01, 1.214758e+00, 1.729137e+00
-9.009812772800e+01, 1.216126e+00, 1.729450e+00
-9.000008841600e+01, 1.218186e+00, 1.730086e+00
-8.990204910400e+01, 1.214677e+00, 1.730339e+00
-8.980400979200e+01, 1.215807e+00, 1.730430e+00
-8.970597048000e+01, 1.215449e+00, 1.730387e+00
-8.960793116800e+01, 1.216157e+00, 1.730350e+00
-8.950989185600e+01, 1.215588e+00, 1.730582e+00
-8.941185254400e+01, 1.214418e+00, 1.730475e+00
-8.931381323200e+01, 1.214216e+00, 1.730737e+00
-8.921577392000e+01, 1.214047e+00, 1.730714e+00
-8.911773460800e+01, 1.213486e+00, 1.730697e+00
-8.901969529600e+01, 1.214235e+00, 1.731424e+00
-8.892165598400e+01, 1.214944e+00, 1.731231e+00
-8.882361667200e+01, 1.214564e+00, 1.731363e+00
-8.872557736000e+01, 1.216983e+00, 1.311909e+00
-8.862753804800e+01, 1.209686e+00, 1.860116e+00
-8.852949873600e+01, 1.210376e+00, 1.956593e+00
-8.843145942400e+01, 1.209499e+00, 1.956492e+00
-8.833342011200e+01, 1.210378e+00, 1.956220e+00
-8.823538080000e+01, 1.209293e+00, 1.955832e+00
-8.813734148800e+01, 1.209783e+00, 1.955438e+00
-8.803930217600e+01, 1.210444e+00, 1.955123e+00
-8.794126286400e+01, 1.209931e+00, 1.954933e+00
-8.784322355200e+01, 1.209595e+00, 1.954791e+00
-8.774518424000e+01, 1.210301e+00, 1.954627e+00
-8.764714492800e+01, 1.210358e+00, 1.948385e+00
-8.754910561600e+01, 1.210303e+00, 1.954218e+00
-8.745106630400e+01, 1.211159e+00, 1.954159e+00
-8.735302699200e+01, 1.210583e+00, 1.954160e+00
-8.725498768000e+01, 1.209298e+00, 1.954381e+00
-8.715694836800e+01, 1.209824e+00, 1.954187e+00
-8.705890905600e+01, 1.210016e+00, 1.953940e+00
-8.696086974400e+01, 1.210409e+00, 1.953609e+00
-8.686283043200e+01, 1.211003e+00, 1.953688e+00
-8.676479112000e+01, 1.211056e+00, 1.953531e+00
-8.666675180800e+01, 1.211627e+00, 1.947684e+00
-8.656871249600e+01, 1.212661e+00, 1.954240e+00
-8.647067318400e+01, 1.212899e+00, 1.954333e+00
-8.637263387200e+01, 1.212401e+00, 1.954179e+00
-8.627459456000e+01, 1.212791e+00, 1.954174e+00
-8.617655524800e+01, 1.212436e+00, 1.954257e+00
-8.607851593600e+01, 1.212239e+00, 1.953905e+00
-8.598047662400e+01, 1.212920e+00, 1.954034e+00
-8.588243731200e+01, 1.212540e+00, 1.953857e+00
-8.578439800000e+01, 1.212563e+00, 1.954019e+00
-8.568635868800e+01, 1.212879e+00, 1.901021e+00
-8.558831937600e+01, 1.212596e+00, 9.586412e-01
-8.549028006400e+01, 1.212574e+00, 8.643551e-01
-8.539224075200e+01, 1.212332e+00, 9.853819e-01
-8.529420144000e+01, 1.212378e+00, 1.035394e+00
-8.519616212800e+01, 1.212490e+00, 8.646955e-01
-8.509812281600e+01, 1.212960e+00, 9.177845e-01
-8.500008350400e+01, 1.212060e+00, 1.032697e+00
-8.490204419200e+01, 1.212713e+00, 9.360838e-01
-8.480400488000e+01, 1.212509e+00, 8.645298e-01
-8.470596556800e+01, 1.212191e+00, 1.011145e+00
-8.460792625600e+01, 1.213158e+00, 1.009925e+00
-8.450988694400e+01, 1.214591e+00, 8.653985e-01
-8.441184763200e+01, 1.214666e+00, 9.434461e-01
-8.431380832000e+01, 1.214632e+00, 1.033441e+00
-8.421576900800e+01, 1.214553e+00, 9.102863e-01
-8.411772969600e+01, 1.216770e+00, 8.692517e-01
-8.401969038400e+01, 1.215789e+00, 1.033091e+00
-8.392165107200e+01, 1.217649e+00, 9.847878e-01
-8.382361176000e+01, 1.217279e+00, 8.651501e-01
-8.372557244800e+01, 1.218881e+00, 9.689058e-01
-8.362753313600e+01, 1.218669e+00, 1.033609e+00
-8.352949382400e+01, 1.219785e+00, 8.854835e-01
-8.343145451200e+01, 1.221649e+00, 8.952460e-01
-8.333341520000e+01, 1.222156e+00, 1.033243e+00
-8.323537588800e+01, 1.223461e+00, 9.599652e-01
-8.313733657600e+01, 1.223838e+00, 8.654391e-01
-8.303929726400e+01, 1.223853e+00, 9.888168e-01
-8.294125795200e+01, 1.224421e+00, 1.034411e+00
-8.284321864000e+01, 1.224829e+00, 8.665793e-01
-8.274517932800e+01, 1.225024e+00, 9.203809e-01
-8.264714001600e+01, 1.225566e+00, 1.033919e+00
-8.254910070400e+01, 1.225083e+00, 9.337227e-01
-8.245106139200e+01, 1.225229e+00, 8.655918e-01
-8.235302208000e+01, 1.225232e+00, 1.014493e+00
-8.225498276800e+01, 1.225569e+00, 1.009019e+00
-8.215694345600e+01, 1.225000e+00, 8.655556e-01
-8.205890414400e+01, 1.224658e+00, 9.458516e-01
-8.196086483200e+01, 1.220867e+00, 1.033985e+00
-8.186282552000e+01, 1.221897e+00, 9.087014e-01
-8.176478620800e+01, 1.224620e+00, 8.717662e-01
-8.166674689600e+01, 1.223763e+00, 1.033475e+00
-8.156870758400e+01, 1.223721e+00, 9.834943e-01
-8.147066827200e+01, 1.224027e+00, 8.655054e-01
-8.137262896000e+01, 1.223127e+00, 9.707508e-01
-8.127458964800e+01, 1.223345e+00, 1.034880e+00
-8.117655033600e+01, 1.222452e+00, 8.836062e-01
-8.107851102400e+01, 1.222951e+00, 8.966886e-01
-8.098047171200e+01, 1.221993e+00, 1.033615e+00
-8.088243240000e+01, 1.221874e+00, 9.579287e-01
-8.078439308800e+01, 1.221935e+00, 8.650895e-01
-8.068635377600e+01, 1.221604e+00, 9.908134e-01
-8.058831446400e+01, 1.221774e+00, 1.032787e+00
-8.049027515200e+01, 1.221145e+00, 8.659141e-01
-8.039223584000e+01, 1.221712e+00, 9.225676e-01
-8.029419652800e+01, 1.221393e+00, 1.033458e+00
-8.019615721600e+01, 1.220982e+00, 9.320928e-01
-8.009811790400e+01, 1.221052e+00, 8.658239e-01
-8.000007859200e+01, 1.220671e+00, 1.016058e+00
-7.990203928000e+01, 1.220862e+00, 1.007045e+00
-7.980399996800e+01, 1.220543e+00, 8.654137e-01
-7.970596065600e+01, 1.221236e+00, 9.486193e-01
-7.960792134400e+01, 1.220695e+00, 1.033546e+00
-7.950988203200e+01, 1.221057e+00, 9.068032e-01
-7.941184272000e+01, 1.221336e+00, 8.731478e-01
-7.931380340800e+01, 1.220800e+00, 1.033795e+00
-7.921576409600e+01, 1.221378e+00, 9.812889e-01
-7.911772478400e+01, 1.220097e+00, 8.658790e-01
-7.901968547200e+01, 1.221232e+00, 9.706366e-01
-7.892164616000e+01, 1.221868e+00, 1.036242e+00
-7.882360684800e+01, 1.221525e+00, 8.819657e-01
-7.872556753600e+01, 1.220406e+00, 8.984298e-01
-7.862752822400e+01, 1.218751e+00, 1.033293e+00
-7.852948891200e+01, 1.220736e+00, 9.565629e-01
-7.843144960000e+01, 1.220025e+00, 8.662541e-01
-7.833341028800e+01, 1.220094e+00, 9.922130e-01
-7.823537097600e+01, 1.219436e+00, 1.030217e+00
-7.813733166400e+01, 1.219426e+00, 8.654392e-01
-7.803929235200e+01, 1.219385e+00, 9.248651e-01
-7.794125304000e+01, 1.219079e+00, 1.033743e+00
-7.784321372800e+01, 1.219258e+00, 9.300937e-01
-7.774517441600e+01, 1.218468e+00, 8.657304e-01
-7.764713510400e+01, 1.218850e+00, 1.019297e+00
-7.754909579200e+01, 1.218723e+00, 1.004039e+00
-7.745105648000e+01, 1.218360e+00, 8.658732e-01
-7.735301716800e+01, 1.218834e+00, 9.520246e-01
-7.725497785600e+01, 1.218640e+00, 1.033625e+00
-7.715693854400e+01, 1.218125e+00, 9.033539e-01
-7.705889923200e+01, 1.218664e+00, 8.779729e-01
-7.696085992000e+01, 1.219251e+00, 1.033549e+00
-7.686282060800e+01, 1.218856e+00, 9.769945e-01
-7.676478129600e+01, 1.218664e+00, 8.663493e-01
-7.666674198400e+01, 1.218994e+00, 9.718242e-01
-7.656870267200e+01, 1.217809e+00, 1.039851e+00
-7.647066336000e+01, 1.218334e+00, 8.763369e-01
-7.637262404800e+01, 1.217649e+00, 9.039857e-01
-7.627458473600e+01, 1.218368e+00, 1.033595e+00
-7.617654542400e+01, 1.218049e+00, 9.510429e-01
-7.607850611200e+01, 1.219045e+00, 8.655314e-01
-7.598046680000e+01, 1.219004e+00, 9.981734e-01
-7.588242748800e+01, 1.218612e+00, 1.025050e+00
-7.578438817600e+01, 1.218252e+00, 8.657993e-01
-7.568634886400e+01, 1.218286e+00, 9.306570e-01
-7.558830955200e+01, 1.218995e+00, 1.033753e+00
-7.549027024000e+01, 1.218729e+00, 9.244340e-01
-7.539223092800e+01, 1.219783e+00, 8.655028e-01
