  freq    |   ref    |    od    |   lock   
----------+----------+----------+----------
 2500.000 |  0.99242 |  1.02769 | -0.00007
 2501.716 |  0.99220 |  1.02782 | -0.00007
 2503.431 |  0.99210 |  1.02771 | -0.00007
 2505.147 |  0.99216 |  1.02759 | -0.00008
 2506.863 |  0.99207 |  1.02773 | -0.00007
 2508.578 |  0.99203 |  1.02760 | -0.00007
 2510.294 |  0.99193 |  1.02761 | -0.00008
 2512.010 |  0.99177 |  1.02771 | -0.00007
 2513.725 |  0.99177 |  1.02768 | -0.00007
 2515.441 |  0.99159 |  1.02784 | -0.00007
 2517.157 |  0.99170 |  1.02773 | -0.00007
 2518.873 |  0.99138 |  1.02787 | -0.00008
 2520.588 |  0.99150 |  1.02799 | -0.00007
 2522.304 |  0.99156 |  1.02787 | -0.00007
 2524.020 |  0.99144 |  1.02798 | -0.00007
 2525.735 |  0.99106 |  1.02790 | -0.00007
 2527.451 |  0.99156 |  1.02800 | -0.00007
 2529.167 |  0.99135 |  1.02759 | -0.00007
 2530.882 |  0.99114 |  1.02772 | -0.00007
 2532.598 |  0.99110 |  1.02792 | -0.00008
 2534.314 |  0.99103 |  1.02790 | -0.00007
 2536.029 |  0.99097 |  1.02788 | -0.00006
 2537.745 |  0.99073 |  1.02814 | -0.00007
 2539.461 |  0.99046 |  1.02792 | -0.00007
 2541.176 |  0.99031 |  1.02777 | -0.00007
 2542.892 |  0.99031 |  1.02744 | -0.00007
 2544.608 |  0.99062 |  1.02771 | -0.00007
 2546.324 |  0.99053 |  1.02769 | -0.00007
 2548.039 |  0.99072 |  1.02779 | -0.00007
 2549.755 |  0.99026 |  1.02775 | -0.00008
 2551.471 |  0.99013 |  1.02704 | -0.00007
 2553.186 |  0.99035 |  1.02750 | -0.00007
 2554.902 |  0.99010 |  1.02773 | -0.00007
 2556.618 |  0.98983 |  1.02776 | -0.00007
 2558.333 |  0.99012 |  1.02795 | -0.00007
 2560.049 |  0.98970 |  1.02814 | -0.00007
 2561.765 |  0.98964 |  1.02817 | -0.00007
 2563.480 |  0.98960 |  1.02795 | -0.00007
 2565.196 |  0.98977 |  1.02802 | -0.00007
 2566.912 |  0.98955 |  1.02820 | -0.00008
 2568.627 |  0.98953 |  1.02804 | -0.00007
 2570.343 |  0.98926 |  1.02773 | -0.00007
 2572.059 |  0.98898 |  1.02828 | -0.00007
