alpha_deg	beta_deg	gamma_deg	sse	sum_diff
110.00	11.00	27.00	0.09259853	-0.16639934
110.00	11.00	28.00	0.092588756	-0.16503081
110.00	11.00	62.00	0.092588756	-0.16503081
110.00	11.00	118.00	0.092588756	-0.16503081
110.00	11.00	152.00	0.092588756	-0.16503081
110.00	12.00	24.00	0.087572157	-0.17324196
110.00	12.00	25.00	0.087262729	-0.17118917
110.00	12.00	26.00	0.087173185	-0.17118917
110.00	12.00	27.00	0.087118467	-0.17050491
110.00	12.00	28.00	0.086789948	-0.17050491
110.00	12.00	30.00	0.086731838	-0.16982065
110.00	12.00	60.00	0.086731838	-0.16982065
110.00	12.00	120.00	0.086731838	-0.16982065
110.00	12.00	150.00	0.086731838	-0.16982065
110.00	13.00	23.00	0.082560061	-0.17666326
110.00	13.00	24.00	0.082177123	-0.17734753
110.00	13.00	25.00	0.082128019	-0.175979
110.00	13.00	26.00	0.081776131	-0.175979
110.00	13.00	27.00	0.081383593	-0.17461048
110.00	13.00	30.00	0.081213927	-0.17255769
110.00	13.00	60.00	0.081213927	-0.17255769
110.00	13.00	120.00	0.081213927	-0.17255769
110.00	13.00	150.00	0.081213927	-0.17255769
110.00	14.00	21.00	0.078088889	-0.18350588
110.00	14.00	22.00	0.077608327	-0.18213736
110.00	14.00	23.00	0.077494651	-0.18076884
110.00	14.00	24.00	0.077279724	-0.1814531
110.00	14.00	25.00	0.076869247	-0.18076884
110.00	14.00	26.00	0.076816439	-0.17940031
110.00	14.00	29.00	0.076333994	-0.17734753
110.00	14.00	30.00	0.076044058	-0.17666326
110.00	14.00	60.00	0.076044058	-0.17666326
110.00	14.00	120.00	0.076044058	-0.17666326
110.00	14.00	150.00	0.076044058	-0.17666326
110.00	15.00	19.00	0.074553034	-0.18829572
110.00	15.00	20.00	0.073766998	-0.18761146
110.00	15.00	21.00	0.073397219	-0.18692719
110.00	15.00	22.00	0.073072241	-0.18692719
110.00	15.00	23.00	0.07275022	-0.18624293
110.00	15.00	24.00	0.072363684	-0.18624293
110.00	15.00	33.00	0.071426207	-0.17803179
110.00	15.00	57.00	0.071426207	-0.17803179
110.00	15.00	58.00	0.071332304	-0.17803179
110.00	15.00	59.00	0.071291322	-0.18008457
110.00	15.00	61.00	0.071211833	-0.1814531
110.00	15.00	151.00	0.071211833	-0.1814531
110.00	16.00	18.00	0.070344092	-0.19376981
110.00	16.00	19.00	0.069920936	-0.19308555
110.00	16.00	20.00	0.069423371	-0.19240129
110.00	16.00	21.00	0.068700019	-0.19103277
110.00	16.00	22.00	0.068538586	-0.18966424
110.00	16.00	23.00	0.068210946	-0.18897998
110.00	16.00	34.00	0.06691127	-0.18008457
110.00	16.00	56.00	0.06691127	-0.18008457
110.00	16.00	57.00	0.066757221	-0.1814531
110.00	16.00	58.00	0.066681911	-0.1814531
110.00	16.00	148.00	0.066681911	-0.1814531
110.00	17.00	18.00	0.066407985	-0.19719112
110.00	17.00	19.00	0.065720706	-0.19650686
110.00	17.00	20.00	0.065152951	-0.1958226
110.00	17.00	21.00	0.064804562	-0.1958226
110.00	17.00	22.00	0.06438997	-0.19513834
110.00	17.00	23.00	0.063914921	-0.19445408
110.00	17.00	36.00	0.062761652	-0.1814531
110.00	17.00	54.00	0.062708423	-0.18076884
110.00	17.00	56.00	0.062424603	-0.18282162
110.00	17.00	58.00	0.062199927	-0.18419015
110.00	17.00	148.00	0.062199927	-0.18419015
110.00	18.00	19.00	0.061855352	-0.20061243
110.00	18.00	20.00	0.061312037	-0.19992817
110.00	18.00	21.00	0.060889712	-0.19992817
110.00	18.00	22.00	0.060360591	-0.19855965
110.00	18.00	23.00	0.059887415	-0.19787539
110.00	18.00	37.00	0.059052093	-0.18213736
110.00	18.00	53.00	0.058918878	-0.1814531
110.00	18.00	54.00	0.058848319	-0.18350588
110.00	18.00	55.00	0.05845421	-0.18555867
110.00	18.00	57.00	0.058318737	-0.18761146
110.00	18.00	58.00	0.058233127	-0.18761146
110.00	18.00	148.00	0.058233127	-0.18761146
110.00	19.00	20.00	0.057838814	-0.20334948
