alpha_deg	beta_deg	gamma_deg	sse	sum_diff
0.00	15.00	0.00	0.00089726926	0.049795699
0.00	15.00	5.00	0.00089726926	0.049795699
0.00	15.00	85.00	0.00089726926	0.049795699
0.00	15.00	90.00	0.00089726926	0.049795699
0.00	15.00	95.00	0.00089726926	0.049795699
0.00	15.00	175.00	0.00089726926	0.049795699
0.00	15.00	180.00	0.00089726926	0.049795699
0.00	20.00	0.00	0.00079873286	0.049795699
0.00	20.00	5.00	0.00079873286	0.049795699
0.00	20.00	10.00	0.000786776	0.049111437
0.00	20.00	80.00	0.000786776	0.049111437
0.00	20.00	100.00	0.000786776	0.049111437
0.00	20.00	170.00	0.000786776	0.049111437
0.00	25.00	0.00	0.00072195104	0.049111437
0.00	25.00	10.00	0.00071705084	0.048427175
0.00	25.00	80.00	0.00071705084	0.048427175
0.00	25.00	100.00	0.00071705084	0.048427175
0.00	25.00	170.00	0.00071705084	0.048427175
0.00	30.00	0.00	0.00070718356	0.049111437
0.00	30.00	90.00	0.00070718356	0.049111437
0.00	30.00	180.00	0.00070718356	0.049111437
0.00	35.00	10.00	0.00070523846	0.049111437
0.00	35.00	40.00	0.00067654093	0.047742913
0.00	35.00	45.00	0.00067654093	0.047742913
0.00	35.00	50.00	0.00067654093	0.047742913
0.00	35.00	130.00	0.00067654093	0.047742913
0.00	35.00	135.00	0.00067654093	0.047742913
0.00	35.00	140.00	0.00067654093	0.047742913
0.00	40.00	35.00	0.00067532491	0.047742913
0.00	40.00	55.00	0.00067532491	0.047742913
0.00	40.00	125.00	0.00067532491	0.047742913
0.00	40.00	145.00	0.00067532491	0.047742913
0.00	45.00	35.00	0.00067526337	0.048427175
0.00	45.00	40.00	0.00065227806	0.049111437
0.00	45.00	45.00	0.00065227806	0.049111437
0.00	45.00	50.00	0.00065227806	0.049111437
0.00	45.00	130.00	0.00065227806	0.049111437
0.00	45.00	135.00	0.00065227806	0.049111437
0.00	45.00	140.00	0.00065227806	0.049111437
0.00	50.00	35.00	0.00062750282	0.047742913
0.00	50.00	40.00	0.00061388179	0.048427175
0.00	50.00	50.00	0.00061388179	0.048427175
0.00	50.00	130.00	0.00061388179	0.048427175
0.00	50.00	140.00	0.00061388179	0.048427175
0.00	55.00	35.00	0.00060286136	0.047742913
0.00	55.00	55.00	0.00060286136	0.047742913
0.00	55.00	125.00	0.00060286136	0.047742913
0.00	55.00	145.00	0.00060286136	0.047742913
0.00	60.00	40.00	0.00059377533	0.048427175
0.00	60.00	50.00	0.00059377533	0.048427175
0.00	60.00	130.00	0.00059377533	0.048427175
0.00	60.00	140.00	0.00059377533	0.048427175
0.00	70.00	40.00	0.00059324424	0.048427175
0.00	70.00	50.00	0.00059324424	0.048427175
0.00	70.00	130.00	0.00059324424	0.048427175
0.00	70.00	140.00	0.00059324424	0.048427175
0.00	110.00	40.00	0.00059324424	0.048427175
0.00	110.00	50.00	0.00059324424	0.048427175
0.00	110.00	130.00	0.00059324424	0.048427175
0.00	110.00	140.00	0.00059324424	0.048427175
5.00	60.00	40.00	0.00057605274	0.047742913
5.00	60.00	130.00	0.00057605274	0.047742913
5.00	120.00	50.00	0.00057605274	0.047742913
5.00	120.00	140.00	0.00057605274	0.047742913
30.00	60.00	40.00	0.00057403273	0.047742913
30.00	60.00	130.00	0.00057403273	0.047742913
30.00	120.00	50.00	0.00057403273	0.047742913
30.00	120.00	140.00	0.00057403273	0.047742913
60.00	55.00	35.00	0.00057403273	0.047742913
60.00	55.00	125.00	0.00057403273	0.047742913
60.00	125.00	55.00	0.00057403273	0.047742913
60.00	125.00	145.00	0.00057403273	0.047742913
75.00	50.00	60.00	0.00057308159	0.047742913
75.00	50.00	150.00	0.00057308159	0.047742913
75.00	130.00	30.00	0.00057308159	0.047742913
75.00	130.00	120.00	0.00057308159	0.047742913
80.00	50.00	60.00	0.00057308159	0.047742913
80.00	50.00	150.00	0.00057308159	0.047742913
80.00	130.00	30.00	0.00057308159	0.047742913
80.00	130.00	120.00	0.00057308159	0.047742913
100.00	50.00	30.00	0.00057308159	0.047742913
100.00	50.00	120.00	0.00057308159	0.047742913
100.00	130.00	60.00	0.00057308159	0.047742913
100.00	130.00	150.00	0.00057308159	0.047742913
105.00	50.00	30.00	0.00057308159	0.047742913
105.00	50.00	120.00	0.00057308159	0.047742913
105.00	130.00	60.00	0.00057308159	0.047742913
105.00	130.00	150.00	0.00057308159	0.047742913
