alpha_deg	beta_deg	gamma_deg	sse	sum_diff
172.00	7.00	11.00	0.12185701	-0.15202983
172.00	7.00	12.00	0.12107925	-0.15066131
172.00	7.00	13.00	0.12074442	-0.15134557
172.00	7.00	14.00	0.1205034	-0.15066131
172.00	7.00	76.00	0.1205034	-0.15066131
172.00	7.00	104.00	0.1205034	-0.15066131
172.00	7.00	166.00	0.1205034	-0.15066131
172.00	8.00	9.00	0.11657255	-0.15750393
172.00	8.00	10.00	0.11589695	-0.15750393
172.00	8.00	11.00	0.11554901	-0.15818819
172.00	8.00	12.00	0.11497195	-0.15681967
172.00	8.00	13.00	0.11447577	-0.15681967
172.00	8.00	14.00	0.11412908	-0.15681967
172.00	8.00	15.00	0.11364413	-0.15681967
172.00	8.00	16.00	0.11344593	-0.15750393
172.00	8.00	17.00	0.11305671	-0.15613541
172.00	8.00	18.00	0.11280818	-0.15613541
172.00	8.00	19.00	0.11243208	-0.15476688
172.00	8.00	71.00	0.11243208	-0.15476688
172.00	8.00	109.00	0.11243208	-0.15476688
172.00	8.00	161.00	0.11243208	-0.15476688
172.00	9.00	8.00	0.11114489	-0.16297803
172.00	9.00	9.00	0.1104375	-0.16297803
172.00	9.00	10.00	0.10977501	-0.16297803
172.00	9.00	11.00	0.10949564	-0.16229376
172.00	9.00	12.00	0.10900133	-0.16229376
172.00	9.00	13.00	0.10849208	-0.16229376
172.00	9.00	14.00	0.10779324	-0.16229376
172.00	9.00	15.00	0.10755039	-0.1616095
172.00	9.00	16.00	0.10724553	-0.16229376
172.00	9.00	17.00	0.10685725	-0.16092524
172.00	9.00	18.00	0.10670414	-0.16092524
172.00	9.00	19.00	0.10649688	-0.16024098
172.00	9.00	20.00	0.10605407	-0.16024098
172.00	9.00	21.00	0.10586367	-0.15955672
172.00	9.00	22.00	0.1057076	-0.16024098
172.00	9.00	23.00	0.10553686	-0.15955672
172.00	9.00	67.00	0.10553686	-0.15955672
172.00	9.00	68.00	0.1054415	-0.15955672
172.00	9.00	158.00	0.1054415	-0.15955672
172.00	10.00	9.00	0.1047827	-0.16845212
172.00	10.00	10.00	0.10416117	-0.16845212
172.00	10.00	11.00	0.10362851	-0.16845212
172.00	10.00	12.00	0.1031633	-0.16776786
172.00	10.00	13.00	0.10265124	-0.16776786
172.00	10.00	14.00	0.10215041	-0.16776786
172.00	10.00	15.00	0.10199456	-0.16639934
172.00	10.00	16.00	0.10151621	-0.16639934
172.00	10.00	17.00	0.10089149	-0.16571507
172.00	10.00	18.00	0.10067018	-0.16503081
172.00	10.00	19.00	0.10022274	-0.16503081
172.00	10.00	20.00	0.10002203	-0.16434655
172.00	10.00	21.00	0.099596124	-0.16434655
172.00	10.00	22.00	0.099436311	-0.16503081
172.00	10.00	23.00	0.099369415	-0.16366229
172.00	10.00	24.00	0.098976282	-0.16366229
172.00	10.00	25.00	0.098827078	-0.16297803
172.00	10.00	115.00	0.098827078	-0.16297803
172.00	11.00	11.00	0.098169873	-0.17324196
172.00	11.00	12.00	0.097618336	-0.17392622
172.00	11.00	13.00	0.097426894	-0.17255769
172.00	11.00	14.00	0.096779704	-0.17187343
172.00	11.00	15.00	0.096264688	-0.17255769
172.00	11.00	16.00	0.095784467	-0.17255769
172.00	11.00	17.00	0.095297064	-0.17118917
172.00	11.00	18.00	0.09475657	-0.16982065
172.00	11.00	19.00	0.09431287	-0.16982065
172.00	11.00	20.00	0.094108418	-0.16913638
172.00	11.00	21.00	0.093930812	-0.16982065
172.00	11.00	23.00	0.093439923	-0.16845212
172.00	11.00	24.00	0.093054281	-0.16845212
172.00	11.00	25.00	0.093007987	-0.1670836
172.00	11.00	26.00	0.092885631	-0.16776786
172.00	11.00	27.00	0.09259853	-0.16639934
172.00	11.00	117.00	0.09259853	-0.16639934
172.00	12.00	12.00	0.09250618	-0.17871605
172.00	12.00	13.00	0.092073618	-0.17803179
172.00	12.00	14.00	0.091313108	-0.17803179
172.00	12.00	15.00	0.090858386	-0.17666326
172.00	12.00	16.00	0.090467027	-0.175979
172.00	12.00	17.00	0.089988532	-0.17666326
172.00	12.00	18.00	0.089352621	-0.175979
172.00	12.00	20.00	0.088943444	-0.17529474
172.00	12.00	21.00	0.088446026	-0.17392622
172.00	12.00	22.00	0.088262175	-0.17324196
172.00	12.00	23.00	0.087851144	-0.17392622
172.00	12.00	24.00	0.087572157	-0.17324196
172.00	12.00	25.00	0.087262729	-0.17118917
172.00	12.00	26.00	0.087173185	-0.17118917
172.00	12.00	27.00	0.087118467	-0.17050491
172.00	12.00	28.00	0.086789948	-0.17050491
172.00	12.00	118.00	0.086789948	-0.17050491
172.00	13.00	14.00	0.08635522	-0.18213736
172.00	13.00	15.00	0.085944196	-0.1814531
172.00	13.00	16.00	0.085408768	-0.1814531
172.00	13.00	17.00	0.084797988	-0.18076884
172.00	13.00	18.00	0.084161141	-0.18008457
172.00	13.00	19.00	0.083895715	-0.18008457
172.00	13.00	20.00	0.083560542	-0.17940031
172.00	13.00	21.00	0.083208555	-0.17871605
172.00	13.00	22.00	0.083024704	-0.17803179
172.00	13.00	23.00	0.082560061	-0.17666326
172.00	13.00	24.00	0.082177123	-0.17734753
172.00	13.00	25.00	0.082128019	-0.175979
172.00	13.00	26.00	0.081776131	-0.175979
172.00	13.00	27.00	0.081753289	-0.17461048
172.00	13.00	28.00	0.081646064	-0.17461048
172.00	13.00	30.00	0.081213927	-0.17255769
172.00	13.00	120.00	0.081213927	-0.17255769
172.00	14.00	15.00	0.081010333	-0.18624293
172.00	14.00	16.00	0.080342436	-0.18624293
172.00	14.00	17.00	0.079897743	-0.18555867
172.00	14.00	18.00	0.079745484	-0.18487441
172.00	14.00	19.00	0.079044159	-0.18419015
172.00	14.00	20.00	0.078525203	-0.18282162
172.00	14.00	21.00	0.078088889	-0.18350588
172.00	14.00	22.00	0.077750948	-0.18282162
172.00	14.00	23.00	0.077669069	-0.1814531
172.00	14.00	24.00	0.077279724	-0.1814531
172.00	14.00	25.00	0.07701936	-0.1814531
172.00	14.00	26.00	0.076816439	-0.17940031
172.00	14.00	27.00	0.076487962	-0.17940031
172.00	14.00	28.00	0.07647823	-0.17803179
172.00	14.00	30.00	0.076044058	-0.17666326
172.00	14.00	120.00	0.076044058	-0.17666326
172.00	15.00	16.00	0.075976197	-0.19171703
172.00	15.00	17.00	0.075188338	-0.18966424
172.00	15.00	18.00	0.074766907	-0.18966424
172.00	15.00	19.00	0.074553034	-0.18829572
172.00	15.00	20.00	0.073766998	-0.18761146
172.00	15.00	21.00	0.073397219	-0.18692719
172.00	15.00	22.00	0.073072241	-0.18692719
172.00	15.00	23.00	0.07275022	-0.18624293
172.00	15.00	24.00	0.07255892	-0.18555867
172.00	15.00	25.00	0.072280911	-0.18487441
172.00	15.00	26.00	0.071905081	-0.18419015
172.00	15.00	27.00	0.071865383	-0.18282162
172.00	15.00	28.00	0.071492553	-0.1814531
