alpha_deg	beta_deg	gamma_deg	sse
0.00	10.00	10.00	0.104161
0.00	10.00	20.00	0.100022
0.00	10.00	70.00	0.100022
0.00	10.00	80.00	0.104161
0.00	10.00	100.00	0.104161
0.00	10.00	110.00	0.100022
0.00	10.00	160.00	0.100022
0.00	10.00	170.00	0.104161
0.00	10.00	190.00	0.104161
0.00	10.00	200.00	0.100022
0.00	10.00	250.00	0.100022
0.00	10.00	260.00	0.104161
0.00	10.00	280.00	0.104161
0.00	10.00	290.00	0.100022
0.00	10.00	340.00	0.100022
0.00	10.00	350.00	0.104161
0.00	20.00	10.00	0.0628849
0.00	20.00	20.00	0.0544257
0.00	20.00	70.00	0.0544257
0.00	20.00	80.00	0.0628849
0.00	20.00	100.00	0.0628849
0.00	20.00	110.00	0.0544257
0.00	20.00	160.00	0.0544257
0.00	20.00	170.00	0.0628849
0.00	20.00	190.00	0.0628849
0.00	20.00	200.00	0.0544257
0.00	20.00	250.00	0.0544257
0.00	20.00	260.00	0.0628849
0.00	20.00	280.00	0.0628849
0.00	20.00	290.00	0.0544257
0.00	20.00	340.00	0.0544257
0.00	20.00	350.00	0.0628849
0.00	30.00	10.00	0.048445
0.00	30.00	80.00	0.048445
0.00	30.00	100.00	0.048445
0.00	30.00	170.00	0.048445
0.00	30.00	190.00	0.048445
0.00	30.00	260.00	0.048445
0.00	30.00	280.00	0.048445
0.00	30.00	350.00	0.048445
0.00	60.00	30.00	0.0693969
0.00	60.00	60.00	0.0693969
0.00	60.00	120.00	0.0693969
0.00	60.00	150.00	0.0693969
0.00	60.00	210.00	0.0693969
0.00	60.00	240.00	0.0693969
0.00	60.00	300.00	0.0693969
0.00	60.00	330.00	0.0693969
0.00	70.00	10.00	0.0453285
0.00	70.00	80.00	0.0453285
0.00	70.00	100.00	0.0453285
0.00	70.00	170.00	0.0453285
0.00	70.00	190.00	0.0453285
0.00	70.00	260.00	0.0453285
0.00	70.00	280.00	0.0453285
0.00	70.00	350.00	0.0453285
0.00	80.00	20.00	0.0444973
0.00	80.00	70.00	0.0444973
0.00	80.00	110.00	0.0444973
0.00	80.00	160.00	0.0444973
0.00	80.00	200.00	0.0444973
0.00	80.00	250.00	0.0444973
0.00	80.00	290.00	0.0444973
0.00	80.00	340.00	0.0444973
0.00	100.00	20.00	0.0444973
0.00	100.00	70.00	0.0444973
0.00	100.00	110.00	0.0444973
0.00	100.00	160.00	0.0444973
0.00	100.00	200.00	0.0444973
0.00	100.00	250.00	0.0444973
0.00	100.00	290.00	0.0444973
0.00	100.00	340.00	0.0444973
0.00	110.00	10.00	0.0453285
0.00	110.00	80.00	0.0453285
0.00	110.00	100.00	0.0453285
0.00	110.00	170.00	0.0453285
0.00	110.00	190.00	0.0453285
0.00	110.00	260.00	0.0453285
0.00	110.00	280.00	0.0453285
0.00	110.00	350.00	0.0453285
0.00	120.00	30.00	0.0693969
0.00	120.00	60.00	0.0693969
0.00	120.00	120.00	0.0693969
0.00	120.00	150.00	0.0693969
0.00	120.00	210.00	0.0693969
0.00	120.00	240.00	0.0693969
0.00	120.00	300.00	0.0693969
0.00	120.00	330.00	0.0693969
0.00	150.00	10.00	0.048445
0.00	150.00	80.00	0.048445
0.00	150.00	100.00	0.048445
0.00	150.00	170.00	0.048445
0.00	150.00	190.00	0.048445
0.00	150.00	260.00	0.048445
0.00	150.00	280.00	0.048445
0.00	150.00	350.00	0.048445
0.00	160.00	10.00	0.0628849
0.00	160.00	20.00	0.0544257
0.00	160.00	70.00	0.0544257
0.00	160.00	80.00	0.0628849
0.00	160.00	100.00	0.0628849
0.00	160.00	110.00	0.0544257
0.00	160.00	160.00	0.0544257
0.00	160.00	170.00	0.0628849
0.00	160.00	190.00	0.0628849
0.00	160.00	200.00	0.0544257
0.00	160.00	250.00	0.0544257
0.00	160.00	260.00	0.0628849
0.00	160.00	280.00	0.0628849
0.00	160.00	290.00	0.0544257
0.00	160.00	340.00	0.0544257
0.00	160.00	350.00	0.0628849
0.00	170.00	10.00	0.104161
0.00	170.00	20.00	0.100022
0.00	170.00	70.00	0.100022
0.00	170.00	80.00	0.104161
0.00	170.00	100.00	0.104161
0.00	170.00	110.00	0.100022
0.00	170.00	160.00	0.100022
0.00	170.00	170.00	0.104161
0.00	170.00	190.00	0.104161
0.00	170.00	200.00	0.100022
0.00	170.00	250.00	0.100022
0.00	170.00	260.00	0.104161
0.00	170.00	280.00	0.104161
0.00	170.00	290.00	0.100022
0.00	170.00	340.00	0.100022
0.00	170.00	350.00	0.104161
0.00	190.00	10.00	0.104161
0.00	190.00	20.00	0.100022
0.00	190.00	70.00	0.100022
0.00	190.00	80.00	0.104161
0.00	190.00	100.00	0.104161
0.00	190.00	110.00	0.100022
0.00	190.00	160.00	0.100022
0.00	190.00	170.00	0.104161
0.00	190.00	190.00	0.104161
0.00	190.00	200.00	0.100022
0.00	190.00	250.00	0.100022
0.00	190.00	260.00	0.104161
0.00	190.00	280.00	0.104161
0.00	190.00	290.00	0.100022
0.00	190.00	340.00	0.100022
0.00	190.00	350.00	0.104161
0.00	200.00	10.00	0.0628849
0.00	200.00	20.00	0.0544257
0.00	200.00	70.00	0.0544257
0.00	200.00	80.00	0.0628849
0.00	200.00	100.00	0.0628849
0.00	200.00	110.00	0.0544257
0.00	200.00	160.00	0.0544257
0.00	200.00	170.00	0.0628849
0.00	200.00	190.00	0.0628849
0.00	200.00	200.00	0.0544257
0.00	200.00	250.00	0.0544257
0.00	200.00	260.00	0.0628849
0.00	200.00	280.00	0.0628849
0.00	200.00	290.00	0.0544257
0.00	200.00	340.00	0.0544257
0.00	200.00	350.00	0.0628849
0.00	210.00	10.00	0.048445
0.00	210.00	80.00	0.048445
0.00	210.00	100.00	0.048445
0.00	210.00	170.00	0.048445
0.00	210.00	190.00	0.048445
0.00	210.00	260.00	0.048445
0.00	210.00	280.00	0.048445
0.00	210.00	350.00	0.048445
0.00	240.00	30.00	0.0693969
0.00	240.00	60.00	0.0693969
0.00	240.00	120.00	0.0693969
0.00	240.00	150.00	0.0693969
