alpha_deg	beta_deg	gamma_deg	sse
2.50	7.50	12.50	0.117736
2.50	7.50	77.50	0.117736
2.50	7.50	102.50	0.117736
2.50	7.50	167.50	0.117736
2.50	7.50	192.50	0.117736
2.50	7.50	257.50	0.117736
2.50	7.50	282.50	0.117736
2.50	7.50	347.50	0.117736
2.50	12.50	7.50	0.0932039
2.50	12.50	12.50	0.0898015
2.50	12.50	17.50	0.0872783
2.50	12.50	22.50	0.0851439
2.50	12.50	62.50	0.0844167
2.50	12.50	67.50	0.0851439
2.50	12.50	72.50	0.0872783
2.50	12.50	77.50	0.0898015
2.50	12.50	82.50	0.0932039
2.50	12.50	97.50	0.0932039
2.50	12.50	102.50	0.0898015
2.50	12.50	107.50	0.0872783
2.50	12.50	112.50	0.0851439
2.50	12.50	152.50	0.0844167
2.50	12.50	157.50	0.0851439
2.50	12.50	162.50	0.0872783
2.50	12.50	167.50	0.0898015
2.50	12.50	172.50	0.0932039
2.50	12.50	187.50	0.0932039
2.50	12.50	192.50	0.0898015
2.50	12.50	197.50	0.0872783
2.50	12.50	202.50	0.0851439
2.50	12.50	242.50	0.0844167
2.50	12.50	247.50	0.0851439
2.50	12.50	252.50	0.0872783
2.50	12.50	257.50	0.0898015
2.50	12.50	262.50	0.0932039
2.50	12.50	277.50	0.0932039
2.50	12.50	282.50	0.0898015
2.50	12.50	287.50	0.0872783
2.50	12.50	292.50	0.0851439
2.50	12.50	332.50	0.0844167
2.50	12.50	337.50	0.0851439
2.50	12.50	342.50	0.0872783
2.50	12.50	347.50	0.0898015
2.50	12.50	352.50	0.0932039
2.50	17.50	7.50	0.0729515
2.50	17.50	12.50	0.0682969
2.50	17.50	17.50	0.0646545
2.50	17.50	62.50	0.0606414
2.50	17.50	67.50	0.0621977
2.50	17.50	72.50	0.0646545
2.50	17.50	77.50	0.0682969
2.50	17.50	82.50	0.0729515
2.50	17.50	97.50	0.0729515
2.50	17.50	102.50	0.0682969
2.50	17.50	107.50	0.0646545
2.50	17.50	152.50	0.0606414
2.50	17.50	157.50	0.0621977
2.50	17.50	162.50	0.0646545
2.50	17.50	167.50	0.0682969
2.50	17.50	172.50	0.0729515
2.50	17.50	187.50	0.0729515
2.50	17.50	192.50	0.0682969
2.50	17.50	197.50	0.0646545
2.50	17.50	242.50	0.0606414
2.50	17.50	247.50	0.0621977
2.50	17.50	252.50	0.0646545
2.50	17.50	257.50	0.0682969
2.50	17.50	262.50	0.0729515
2.50	17.50	277.50	0.0729515
2.50	17.50	282.50	0.0682969
2.50	17.50	287.50	0.0646545
2.50	17.50	332.50	0.0606414
2.50	17.50	337.50	0.0621977
2.50	17.50	342.50	0.0646545
2.50	17.50	347.50	0.0682969
2.50	17.50	352.50	0.0729515
2.50	22.50	7.50	0.0598223
2.50	22.50	12.50	0.0537504
2.50	22.50	17.50	0.0491951
2.50	22.50	67.50	0.0457474
2.50	22.50	72.50	0.0491951
2.50	22.50	77.50	0.0537504
2.50	22.50	82.50	0.0598223
2.50	22.50	97.50	0.0598223
2.50	22.50	102.50	0.0537504
2.50	22.50	107.50	0.0491951
2.50	22.50	157.50	0.0457474
2.50	22.50	162.50	0.0491951
2.50	22.50	167.50	0.0537504
2.50	22.50	172.50	0.0598223
2.50	22.50	187.50	0.0598223
2.50	22.50	192.50	0.0537504
2.50	22.50	197.50	0.0491951
2.50	22.50	247.50	0.0457474
2.50	22.50	252.50	0.0491951
2.50	22.50	257.50	0.0537504
2.50	22.50	262.50	0.0598223
2.50	22.50	277.50	0.0598223
2.50	22.50	282.50	0.0537504
2.50	22.50	287.50	0.0491951
2.50	22.50	337.50	0.0457474
2.50	22.50	342.50	0.0491951
2.50	22.50	347.50	0.0537504
2.50	22.50	352.50	0.0598223
2.50	27.50	7.50	0.0532974
2.50	27.50	12.50	0.0460033
2.50	27.50	17.50	0.0402249
2.50	27.50	72.50	0.0402249
