B (tesla)	distanza (mm)	risoluzione GAUSSMETER
0.475	0	0.001
0.460	1	0.001
0.379	2	0.001
0.266	3	0.001
0.208	4	0.001
0.157	5	0.001
0.119	6	0.001
0.094	7	0.001
0.075	8	0.001
0.059	9	0.001
0.047	10	0.001
0.038	11	0.001
0.032	12	0.001
0.026	13	0.001
0.023	14	0.001
0.020	15	0.001
0.017	17	0.001
0.010	20	0.001
0.006	25	0.001
0.004	30	0.001
0.002	35	0.001
0.0014	40	0.0001
0.00094	45	0.00001
0.00061	50	0.00001
0.00040	55	0.00001
0.00025	60	0.00001
0.00008	70	0.00001
0.00003	80	0.00001
0.00002	90	0.00001
