B previsto [T]	err B previsto [T]	V [mV]	Rumore[mV]
0.01848	0.00180	318	0.5
0.01994	0.00195	298	0.6
0.02155	0.00212	293	0.6
0.02331	0.00230	287	0.5
0.02523	0.00250	291	0.3
0.02735	0.00272	286	0.2
0.02967	0.00296	284	0.5
0.03222	0.00323	276	0.4
0.03503	0.00352	275	0.3
0.03812	0.00385	267	0.2
0.04153	0.00421	271	0.5
0.04530	0.00461	272	0.3
0.04946	0.00505	269	0.2
0.05407	0.00554	270	0.3
0.05917	0.00609	268	0.4
0.06483	0.00670	265	0.5
0.07112	0.00738	270	0.5
0.07812	0.00814	271	0.3
0.08591	0.00899	268	0.2
0.09460	0.00995	267	0.2
0.10430	0.01102	266	0.3
0.11515	0.01222	268	0.2
0.12731	0.01357	268	0.3
0.14094	0.01510	266	0.4
0.15626	0.01683	264	0.4
0.17349	0.01878	261	0.3
0.19292	0.02100	261	0.2
0.21485	0.02352	263	0.3
0.23965	0.02638	262	0.3
0.26775	0.02966	273	0.3
0.29965	0.03340	268	0.2
0.33593	0.03768	269	0.3
0.37726	0.04260	269	0.3
