potenza [mW]	Corrente [mA]	tensione [mV]	err corr [mA]	err tens  [mV]
0	            155         	-2          	0.05        	0.05
0	            165         	-2	            0.05        	0.05
1	            175         	-2	            0.05        	0.05
1.5         	185         	-2.1        	0.05        	0.2
2.5	            195	            -2.9        	0.05        	0.2
3	            205	            -2.6	        0.05        	0.3
4	            215	            -2.8	        0.05        	0.2
5	            225	            -2.8	        0.05        	0.3
6	            235	            -2.9	        0.05        	0.2
7	            245	            -3.7	        0.05        	0.3
8	            255	            4.8	            0.05        	0.2
10	            265	            -6.4	        0.05	        0.2
14	            275	            -7.5	        0.05	        0.2
